order_id,date,store_id,sku_id,recommended_order_qty,executed_order_qty,reason,status
O0000077,2026-02-09,STORE01,SKU025,41,41,low_stock_or_forecast,executed
O0000078,2026-02-10,STORE02,SKU033,41,41,low_stock_or_forecast,executed
O0000079,2026-02-14,STORE05,SKU025,42,42,low_stock_or_forecast,executed
O0000080,2026-02-14,STORE05,SKU033,42,37,low_stock_or_forecast,executed
O0000081,2026-02-15,STORE02,SKU034,41,31,low_stock_or_forecast,executed
O0000082,2026-02-15,STORE05,SKU024,42,32,low_stock_or_forecast,executed
O0000083,2026-02-15,STORE05,SKU036,48,43,low_stock_or_forecast,executed
O0000084,2026-02-16,STORE01,SKU028,42,37,low_stock_or_forecast,executed
O0000085,2026-02-16,STORE01,SKU034,44,44,low_stock_or_forecast,executed
O0000086,2026-02-16,STORE02,SKU031,41,31,low_stock_or_forecast,executed
O0000087,2026-02-16,STORE03,SKU057,41,41,low_stock_or_forecast,executed
O0000088,2026-02-17,STORE05,SKU002,41,41,low_stock_or_forecast,executed
O0000089,2026-02-18,STORE01,SKU026,45,40,low_stock_or_forecast,executed
O0000090,2026-02-18,STORE05,SKU066,44,39,low_stock_or_forecast,executed
O0000091,2026-02-19,STORE01,SKU040,44,39,low_stock_or_forecast,executed
O0000092,2026-02-19,STORE05,SKU025,45,35,low_stock_or_forecast,executed
O0000093,2026-02-19,STORE05,SKU056,43,38,low_stock_or_forecast,executed
O0000094,2026-02-20,STORE03,SKU023,41,41,low_stock_or_forecast,executed
O0000095,2026-02-20,STORE03,SKU061,41,41,low_stock_or_forecast,executed
O0000096,2026-02-20,STORE05,SKU007,44,44,low_stock_or_forecast,executed
O0000097,2026-02-21,STORE01,SKU008,42,32,low_stock_or_forecast,executed
O0000098,2026-02-21,STORE01,SKU021,44,39,low_stock_or_forecast,executed
O0000099,2026-02-21,STORE01,SKU030,42,42,low_stock_or_forecast,executed
O0000100,2026-02-21,STORE02,SKU058,45,35,low_stock_or_forecast,executed
O0000101,2026-02-21,STORE05,SKU026,44,44,low_stock_or_forecast,executed
O0000102,2026-02-22,STORE01,SKU012,42,42,low_stock_or_forecast,executed
O0000103,2026-02-22,STORE01,SKU020,42,37,low_stock_or_forecast,executed
O0000104,2026-02-22,STORE04,SKU008,42,32,low_stock_or_forecast,executed
O0000105,2026-02-22,STORE04,SKU078,41,41,low_stock_or_forecast,executed
O0000106,2026-02-22,STORE05,SKU021,41,41,low_stock_or_forecast,executed
O0000107,2026-02-23,STORE05,SKU013,45,40,low_stock_or_forecast,executed
O0000108,2026-02-24,STORE01,SKU029,42,42,low_stock_or_forecast,executed
O0000109,2026-02-24,STORE05,SKU018,42,37,low_stock_or_forecast,executed
O0000110,2026-02-24,STORE05,SKU036,49,49,low_stock_or_forecast,executed
O0000111,2026-02-25,STORE02,SKU022,41,41,low_stock_or_forecast,executed
O0000112,2026-02-27,STORE05,SKU012,43,43,low_stock_or_forecast,executed
O0000113,2026-02-27,STORE05,SKU039,41,41,low_stock_or_forecast,executed
O0000114,2026-02-28,STORE05,SKU025,41,31,low_stock_or_forecast,executed
O0000115,2026-02-28,STORE05,SKU056,42,32,low_stock_or_forecast,executed
O0000116,2026-03-01,STORE03,SKU038,42,32,low_stock_or_forecast,executed
O0000117,2026-03-01,STORE05,SKU035,41,41,low_stock_or_forecast,executed
O0000118,2026-03-02,STORE01,SKU030,41,41,low_stock_or_forecast,executed
O0000119,2026-03-02,STORE05,SKU017,41,41,low_stock_or_forecast,executed
O0000120,2026-03-04,STORE01,SKU012,44,39,low_stock_or_forecast,executed
O0000121,2026-03-04,STORE01,SKU025,43,43,low_stock_or_forecast,executed
O0000122,2026-03-04,STORE03,SKU063,42,42,low_stock_or_forecast,executed
O0000123,2026-03-04,STORE05,SKU059,43,43,low_stock_or_forecast,executed
O0000124,2026-03-05,STORE03,SKU040,48,43,low_stock_or_forecast,executed
O0000125,2026-03-06,STORE03,SKU013,41,31,low_stock_or_forecast,executed
O0000126,2026-03-06,STORE05,SKU067,42,42,low_stock_or_forecast,executed
O0000127,2026-03-08,STORE05,SKU021,45,45,low_stock_or_forecast,executed
O0000128,2026-03-09,STORE05,SKU016,41,41,low_stock_or_forecast,executed
O0000129,2026-03-10,STORE04,SKU040,41,31,low_stock_or_forecast,executed
O0000130,2026-03-10,STORE05,SKU012,42,42,low_stock_or_forecast,executed
O0000131,2026-03-11,STORE05,SKU039,41,41,low_stock_or_forecast,executed
O0000132,2026-03-12,STORE01,SKU029,47,37,low_stock_or_forecast,executed
O0000133,2026-03-12,STORE05,SKU026,42,42,low_stock_or_forecast,executed
O0000134,2026-03-13,STORE02,SKU015,42,42,low_stock_or_forecast,executed
O0000135,2026-03-14,STORE01,SKU004,42,42,low_stock_or_forecast,executed
O0000136,2026-03-14,STORE05,SKU027,47,47,low_stock_or_forecast,executed
O0000137,2026-03-15,STORE01,SKU020,43,43,low_stock_or_forecast,executed
O0000138,2026-03-15,STORE05,SKU025,42,42,low_stock_or_forecast,executed
O0000139,2026-03-15,STORE05,SKU033,45,40,low_stock_or_forecast,executed
O0000140,2026-03-16,STORE03,SKU031,45,35,low_stock_or_forecast,executed
O0000141,2026-03-16,STORE05,SKU035,41,41,low_stock_or_forecast,executed
O0000142,2026-03-17,STORE05,SKU006,45,45,low_stock_or_forecast,executed
O0000143,2026-03-18,STORE01,SKU029,42,42,low_stock_or_forecast,executed
O0000144,2026-03-21,STORE01,SKU033,41,31,low_stock_or_forecast,executed
O0000145,2026-03-21,STORE03,SKU034,48,38,low_stock_or_forecast,executed
O0000146,2026-03-23,STORE01,SKU063,41,41,low_stock_or_forecast,executed
O0000147,2026-03-23,STORE02,SKU032,41,41,low_stock_or_forecast,executed
O0000148,2026-03-25,STORE04,SKU039,44,34,low_stock_or_forecast,executed
O0000149,2026-03-25,STORE05,SKU019,41,31,low_stock_or_forecast,executed
O0000150,2026-03-25,STORE05,SKU034,46,46,low_stock_or_forecast,executed
O0000151,2026-03-27,STORE05,SKU021,42,42,low_stock_or_forecast,executed
O0000152,2026-03-27,STORE05,SKU039,43,38,low_stock_or_forecast,executed
O0000153,2026-03-29,STORE05,SKU025,45,45,low_stock_or_forecast,executed
O0000154,2026-03-30,STORE05,SKU016,41,36,low_stock_or_forecast,executed
O0000155,2026-04-02,STORE01,SKU037,42,42,low_stock_or_forecast,executed
O0000156,2026-04-02,STORE02,SKU039,42,32,low_stock_or_forecast,executed
O0000157,2026-04-03,STORE03,SKU005,43,33,low_stock_or_forecast,executed
O0000158,2026-04-03,STORE03,SKU034,42,37,low_stock_or_forecast,executed
O0000159,2026-04-03,STORE05,SKU029,44,34,low_stock_or_forecast,executed
O0000160,2026-04-04,STORE01,SKU039,42,42,low_stock_or_forecast,executed
O0000161,2026-04-05,STORE02,SKU022,41,41,low_stock_or_forecast,executed
O0000162,2026-04-06,STORE01,SKU018,44,44,low_stock_or_forecast,executed
O0000163,2026-04-07,STORE02,SKU032,42,32,low_stock_or_forecast,executed
O0000164,2026-04-07,STORE05,SKU034,46,46,low_stock_or_forecast,executed
O0000165,2026-04-08,STORE01,SKU028,42,32,low_stock_or_forecast,executed
O0000166,2026-04-10,STORE05,SKU062,42,32,low_stock_or_forecast,executed
O0000167,2026-04-11,STORE02,SKU004,42,37,low_stock_or_forecast,executed
O0000168,2026-04-11,STORE02,SKU040,41,31,low_stock_or_forecast,executed
O0000169,2026-04-11,STORE04,SKU003,41,31,low_stock_or_forecast,executed
O0000170,2026-04-12,STORE01,SKU024,41,41,low_stock_or_forecast,executed
O0000171,2026-04-12,STORE05,SKU024,42,37,low_stock_or_forecast,executed
O0000172,2026-04-16,STORE05,SKU005,44,39,low_stock_or_forecast,executed
O0000173,2026-04-18,STORE03,SKU032,42,42,low_stock_or_forecast,executed
O0000174,2026-04-18,STORE05,SKU009,45,35,low_stock_or_forecast,executed
O0000175,2026-04-19,STORE02,SKU032,41,36,low_stock_or_forecast,executed
O0000176,2026-04-19,STORE04,SKU027,43,38,low_stock_or_forecast,executed
O0000177,2026-04-20,STORE01,SKU039,44,44,low_stock_or_forecast,executed
O0000178,2026-04-20,STORE02,SKU024,41,41,low_stock_or_forecast,executed
O0000179,2026-04-20,STORE03,SKU031,44,44,low_stock_or_forecast,executed
O0000180,2026-04-20,STORE05,SKU038,44,34,low_stock_or_forecast,executed
O0000181,2026-04-21,STORE01,SKU030,41,31,low_stock_or_forecast,executed
O0000182,2026-04-21,STORE05,SKU018,41,31,low_stock_or_forecast,executed
O0000183,2026-04-21,STORE05,SKU036,47,42,low_stock_or_forecast,executed
O0000184,2026-04-23,STORE04,SKU025,47,47,low_stock_or_forecast,executed
O0000185,2026-04-23,STORE05,SKU009,42,42,low_stock_or_forecast,executed
O0000186,2026-04-24,STORE04,SKU003,41,41,low_stock_or_forecast,executed
O0000187,2026-04-25,STORE02,SKU034,44,34,low_stock_or_forecast,executed
O0000188,2026-04-25,STORE03,SKU016,42,42,low_stock_or_forecast,executed
O0000189,2026-04-25,STORE03,SKU026,41,41,low_stock_or_forecast,executed
O0000190,2026-04-25,STORE05,SKU006,41,41,low_stock_or_forecast,executed
O0000191,2026-04-25,STORE05,SKU023,42,32,low_stock_or_forecast,executed
O0000192,2026-04-26,STORE01,SKU004,41,41,low_stock_or_forecast,executed
O0000193,2026-04-26,STORE02,SKU030,42,42,low_stock_or_forecast,executed
O0000194,2026-04-26,STORE02,SKU031,41,36,low_stock_or_forecast,executed
O0000195,2026-04-26,STORE05,SKU031,43,38,low_stock_or_forecast,executed
O0000196,2026-04-27,STORE05,SKU056,41,31,low_stock_or_forecast,executed
O0000197,2026-04-27,STORE05,SKU070,43,43,low_stock_or_forecast,executed
O0000198,2026-04-27,STORE05,SKU079,41,31,low_stock_or_forecast,executed
O0000199,2026-04-29,STORE04,SKU039,41,36,low_stock_or_forecast,executed
O0000200,2026-04-29,STORE05,SKU029,47,47,low_stock_or_forecast,executed
O0000201,2026-04-30,STORE01,SKU035,41,41,low_stock_or_forecast,executed
O0000202,2026-05-01,STORE01,SKU013,41,31,low_stock_or_forecast,executed
O0000203,2026-05-02,STORE01,SKU021,44,44,low_stock_or_forecast,executed
O0000204,2026-05-02,STORE05,SKU018,41,41,low_stock_or_forecast,executed
O0000205,2026-05-03,STORE01,SKU030,43,38,low_stock_or_forecast,executed
O0000206,2026-05-03,STORE01,SKU032,44,44,low_stock_or_forecast,executed
O0000207,2026-05-03,STORE02,SKU039,43,43,low_stock_or_forecast,executed
O0000208,2026-05-03,STORE05,SKU006,42,32,low_stock_or_forecast,executed
O0000209,2026-05-04,STORE01,SKU065,44,44,low_stock_or_forecast,executed
O0000210,2026-05-04,STORE03,SKU013,41,36,low_stock_or_forecast,executed
O0000211,2026-05-05,STORE01,SKU028,49,44,low_stock_or_forecast,executed
O0000212,2026-05-05,STORE04,SKU025,46,46,low_stock_or_forecast,executed
O0000213,2026-05-05,STORE05,SKU021,50,45,low_stock_or_forecast,executed
O0000214,2026-05-05,STORE05,SKU031,47,42,low_stock_or_forecast,executed
O0000215,2026-05-06,STORE01,SKU027,41,41,low_stock_or_forecast,executed
O0000216,2026-05-06,STORE05,SKU067,41,31,low_stock_or_forecast,executed
O0000217,2026-05-07,STORE01,SKU018,45,40,low_stock_or_forecast,executed
O0000218,2026-05-07,STORE01,SKU036,42,32,low_stock_or_forecast,executed
O0000219,2026-05-07,STORE02,SKU027,41,36,low_stock_or_forecast,executed
O0000220,2026-05-07,STORE03,SKU034,42,32,low_stock_or_forecast,executed
O0000221,2026-05-08,STORE01,SKU021,46,46,low_stock_or_forecast,executed
O0000222,2026-05-08,STORE03,SKU036,41,36,low_stock_or_forecast,executed
O0000223,2026-05-08,STORE05,SKU024,42,32,low_stock_or_forecast,executed
O0000224,2026-05-10,STORE01,SKU032,46,46,low_stock_or_forecast,executed
O0000225,2026-05-10,STORE03,SKU035,46,41,low_stock_or_forecast,executed
O0000226,2026-05-10,STORE04,SKU038,41,41,low_stock_or_forecast,executed
O0000227,2026-05-11,STORE01,SKU017,41,41,low_stock_or_forecast,executed
O0000228,2026-05-11,STORE01,SKU036,41,31,low_stock_or_forecast,executed
O0000229,2026-05-12,STORE01,SKU018,41,36,low_stock_or_forecast,executed
O0000230,2026-05-12,STORE01,SKU024,43,43,low_stock_or_forecast,executed
O0000231,2026-05-12,STORE02,SKU021,41,36,low_stock_or_forecast,executed
O0000232,2026-05-12,STORE04,SKU035,42,37,low_stock_or_forecast,executed
O0000233,2026-05-12,STORE04,SKU057,45,35,low_stock_or_forecast,executed
O0000234,2026-05-13,STORE02,SKU036,43,43,low_stock_or_forecast,executed
O0000235,2026-05-14,STORE01,SKU001,41,41,low_stock_or_forecast,executed
O0000236,2026-05-14,STORE01,SKU038,43,33,low_stock_or_forecast,executed
O0000237,2026-05-14,STORE02,SKU024,43,38,low_stock_or_forecast,executed
O0000238,2026-05-15,STORE01,SKU032,48,38,low_stock_or_forecast,executed
O0000239,2026-05-16,STORE01,SKU035,51,51,low_stock_or_forecast,executed
O0000240,2026-05-16,STORE04,SKU038,42,32,low_stock_or_forecast,executed
O0000241,2026-05-16,STORE05,SKU030,42,42,low_stock_or_forecast,executed
O0000242,2026-05-17,STORE02,SKU023,41,41,low_stock_or_forecast,executed
O0000243,2026-05-17,STORE02,SKU031,41,41,low_stock_or_forecast,executed
O0000244,2026-05-17,STORE03,SKU036,43,43,low_stock_or_forecast,executed
O0000245,2026-05-17,STORE05,SKU006,43,43,low_stock_or_forecast,executed
O0000246,2026-05-17,STORE05,SKU021,45,45,low_stock_or_forecast,executed
O0000247,2026-05-18,STORE01,SKU039,47,47,low_stock_or_forecast,executed
O0000248,2026-05-19,STORE05,SKU067,43,33,low_stock_or_forecast,executed
O0000249,2026-05-20,STORE05,SKU036,43,38,low_stock_or_forecast,executed
O0000250,2026-05-21,STORE01,SKU018,41,31,low_stock_or_forecast,executed
O0000251,2026-05-21,STORE01,SKU059,41,41,low_stock_or_forecast,executed
O0000252,2026-05-21,STORE03,SKU032,43,38,low_stock_or_forecast,executed
O0000253,2026-05-21,STORE05,SKU015,43,43,low_stock_or_forecast,executed
O0000254,2026-05-22,STORE01,SKU022,45,40,low_stock_or_forecast,executed
O0000255,2026-05-22,STORE01,SKU032,47,42,low_stock_or_forecast,executed
O0000256,2026-05-22,STORE02,SKU030,41,31,low_stock_or_forecast,executed
O0000257,2026-05-22,STORE05,SKU008,45,40,low_stock_or_forecast,executed
O0000258,2026-05-23,STORE03,SKU025,47,42,low_stock_or_forecast,executed
O0000259,2026-05-24,STORE01,SKU035,49,39,low_stock_or_forecast,executed
O0000260,2026-05-24,STORE01,SKU039,48,38,low_stock_or_forecast,executed
O0000261,2026-05-24,STORE02,SKU025,45,35,low_stock_or_forecast,executed
O0000262,2026-05-24,STORE03,SKU022,42,37,low_stock_or_forecast,executed
O0000263,2026-05-25,STORE02,SKU017,43,43,low_stock_or_forecast,executed
O0000264,2026-05-26,STORE01,SKU001,41,36,low_stock_or_forecast,executed
O0000265,2026-05-26,STORE05,SKU011,41,41,low_stock_or_forecast,executed
O0000266,2026-05-27,STORE01,SKU033,41,36,low_stock_or_forecast,executed
O0000267,2026-05-28,STORE01,SKU024,41,36,low_stock_or_forecast,executed
O0000268,2026-05-28,STORE03,SKU035,42,32,low_stock_or_forecast,executed
O0000269,2026-05-28,STORE05,SKU028,41,31,low_stock_or_forecast,executed
O0000270,2026-05-29,STORE02,SKU034,44,44,low_stock_or_forecast,executed
O0000271,2026-05-29,STORE05,SKU029,42,37,low_stock_or_forecast,executed
O0000272,2026-05-30,STORE01,SKU026,44,44,low_stock_or_forecast,executed
O0000273,2026-05-30,STORE01,SKU027,47,47,low_stock_or_forecast,executed
O0000274,2026-05-30,STORE01,SKU039,44,39,low_stock_or_forecast,executed
O0000275,2026-05-30,STORE02,SKU030,46,36,low_stock_or_forecast,executed
O0000276,2026-05-30,STORE05,SKU009,47,37,low_stock_or_forecast,executed
O0000277,2026-05-31,STORE01,SKU032,43,43,low_stock_or_forecast,executed
O0000278,2026-06-01,STORE03,SKU022,42,37,low_stock_or_forecast,executed
O0000279,2026-06-01,STORE03,SKU026,41,41,low_stock_or_forecast,executed
O0000280,2026-06-01,STORE05,SKU035,41,41,low_stock_or_forecast,executed
O0000281,2026-06-02,STORE01,SKU021,41,31,low_stock_or_forecast,executed
O0000282,2026-06-02,STORE01,SKU027,43,33,low_stock_or_forecast,executed
O0000283,2026-06-02,STORE05,SKU006,44,39,low_stock_or_forecast,executed
O0000284,2026-06-03,STORE01,SKU014,44,44,low_stock_or_forecast,executed
O0000285,2026-06-05,STORE05,SKU028,41,41,low_stock_or_forecast,executed
O0000286,2026-06-06,STORE01,SKU023,43,43,low_stock_or_forecast,executed
O0000287,2026-06-06,STORE01,SKU039,43,43,low_stock_or_forecast,executed
O0000288,2026-06-06,STORE01,SKU040,41,41,low_stock_or_forecast,executed
O0000289,2026-06-06,STORE02,SKU005,41,41,low_stock_or_forecast,executed
O0000290,2026-06-06,STORE03,SKU024,45,40,low_stock_or_forecast,executed
O0000291,2026-06-06,STORE03,SKU036,43,38,low_stock_or_forecast,executed
O0000292,2026-06-06,STORE05,SKU022,43,33,low_stock_or_forecast,executed
O0000293,2026-06-06,STORE05,SKU075,42,42,low_stock_or_forecast,executed
O0000294,2026-06-07,STORE01,SKU022,44,39,low_stock_or_forecast,executed
O0000295,2026-06-07,STORE01,SKU036,51,51,low_stock_or_forecast,executed
O0000296,2026-06-07,STORE01,SKU063,41,36,low_stock_or_forecast,executed
O0000297,2026-06-07,STORE02,SKU004,41,36,low_stock_or_forecast,executed
O0000298,2026-06-07,STORE03,SKU022,41,41,low_stock_or_forecast,executed
O0000299,2026-06-07,STORE03,SKU034,47,47,low_stock_or_forecast,executed
O0000300,2026-06-07,STORE04,SKU024,42,42,low_stock_or_forecast,executed
O0000301,2026-06-07,STORE05,SKU031,42,42,low_stock_or_forecast,executed
O0000302,2026-06-07,STORE05,SKU032,42,42,low_stock_or_forecast,executed
O0000303,2026-06-07,STORE05,SKU068,44,44,low_stock_or_forecast,executed
O0000304,2026-06-08,STORE01,SKU021,44,44,low_stock_or_forecast,executed
O0000305,2026-06-08,STORE02,SKU038,41,41,low_stock_or_forecast,executed
O0000306,2026-06-08,STORE04,SKU022,41,31,low_stock_or_forecast,executed
O0000307,2026-06-09,STORE02,SKU037,44,39,low_stock_or_forecast,executed
O0000308,2026-06-09,STORE04,SKU026,43,43,low_stock_or_forecast,executed
O0000309,2026-06-09,STORE05,SKU001,41,41,low_stock_or_forecast,executed
O0000310,2026-06-10,STORE01,SKU004,41,36,low_stock_or_forecast,executed
O0000311,2026-06-10,STORE01,SKU038,46,41,low_stock_or_forecast,executed
O0000312,2026-06-10,STORE02,SKU024,41,41,low_stock_or_forecast,executed
O0000313,2026-06-10,STORE03,SKU025,41,31,low_stock_or_forecast,executed
O0000314,2026-06-11,STORE02,SKU059,41,36,low_stock_or_forecast,executed
O0000315,2026-06-12,STORE01,SKU035,42,42,low_stock_or_forecast,executed
O0000316,2026-06-12,STORE05,SKU021,42,37,low_stock_or_forecast,executed
O0000317,2026-06-12,STORE05,SKU022,41,36,low_stock_or_forecast,executed
O0000318,2026-06-12,STORE05,SKU031,44,34,low_stock_or_forecast,executed
O0000319,2026-06-13,STORE01,SKU022,52,42,low_stock_or_forecast,executed
O0000320,2026-06-13,STORE01,SKU028,45,45,low_stock_or_forecast,executed
O0000321,2026-06-13,STORE01,SKU077,41,41,low_stock_or_forecast,executed
O0000322,2026-06-13,STORE03,SKU026,49,49,low_stock_or_forecast,executed
O0000323,2026-06-13,STORE03,SKU035,41,36,low_stock_or_forecast,executed
O0000324,2026-06-13,STORE05,SKU002,41,36,low_stock_or_forecast,executed
O0000325,2026-06-14,STORE01,SKU025,41,31,low_stock_or_forecast,executed
O0000326,2026-06-14,STORE01,SKU040,46,41,low_stock_or_forecast,executed
O0000327,2026-06-14,STORE03,SKU028,41,41,low_stock_or_forecast,executed
O0000328,2026-06-15,STORE02,SKU035,41,36,low_stock_or_forecast,executed
O0000329,2026-06-16,STORE03,SKU024,42,32,low_stock_or_forecast,executed
O0000330,2026-06-16,STORE03,SKU034,44,44,low_stock_or_forecast,executed
O0000331,2026-06-16,STORE05,SKU036,41,31,low_stock_or_forecast,executed
O0000332,2026-06-17,STORE01,SKU006,41,31,low_stock_or_forecast,executed
O0000333,2026-06-17,STORE05,SKU037,42,42,low_stock_or_forecast,executed
O0000334,2026-06-18,STORE01,SKU023,43,33,low_stock_or_forecast,executed
O0000335,2026-06-18,STORE02,SKU024,41,41,low_stock_or_forecast,executed
O0000336,2026-06-18,STORE02,SKU039,43,43,low_stock_or_forecast,executed
O0000337,2026-06-19,STORE05,SKU026,42,42,low_stock_or_forecast,executed
O0000338,2026-06-20,STORE01,SKU027,44,44,low_stock_or_forecast,executed
O0000339,2026-06-20,STORE02,SKU036,42,37,low_stock_or_forecast,executed
O0000340,2026-06-20,STORE05,SKU040,44,44,low_stock_or_forecast,executed
O0000341,2026-06-21,STORE01,SKU021,43,43,low_stock_or_forecast,executed
O0000342,2026-06-21,STORE01,SKU023,47,37,low_stock_or_forecast,executed
O0000343,2026-06-21,STORE01,SKU037,42,32,low_stock_or_forecast,executed
O0000344,2026-06-21,STORE03,SKU025,42,42,low_stock_or_forecast,executed
O0000345,2026-06-21,STORE05,SKU031,42,32,low_stock_or_forecast,executed
O0000346,2026-06-21,STORE05,SKU036,41,41,low_stock_or_forecast,executed
O0000347,2026-06-22,STORE01,SKU032,42,42,low_stock_or_forecast,executed
O0000348,2026-06-22,STORE01,SKU035,46,36,low_stock_or_forecast,executed
