snapshot_id,date,timestamp,sku_id,expected_stock,cv_count,count_confidence
CV00000061,2021-03-30,2021-03-30 23:30:00,10060,66,67,0.927
CV00000062,2021-03-31,2021-03-31 23:30:00,10060,57,57,0.98
CV00000063,2021-04-01,2021-04-01 23:30:00,10060,146,145,0.894
CV00000064,2021-04-02,2021-04-02 23:30:00,10060,137,138,0.871
CV00000065,2021-04-03,2021-04-03 23:30:00,10060,122,121,0.955
CV00000066,2021-04-04,2021-04-04 23:30:00,10060,122,122,0.931
CV00000067,2021-04-05,2021-04-05 23:30:00,10060,114,113,0.899
CV00000068,2021-04-06,2021-04-06 23:30:00,10060,114,114,0.864
CV00000069,2021-04-07,2021-04-07 23:30:00,10060,114,114,0.981
CV00000070,2021-04-08,2021-04-08 23:30:00,10060,98,98,0.952
CV00000071,2021-04-09,2021-04-09 23:30:00,10060,98,98,0.957
CV00000072,2021-04-10,2021-04-10 23:30:00,10060,90,91,0.895
CV00000073,2021-04-11,2021-04-11 23:30:00,10060,82,82,0.893
CV00000074,2021-04-12,2021-04-12 23:30:00,10060,82,82,0.878
CV00000075,2021-04-13,2021-04-13 23:30:00,10060,82,82,0.869
CV00000076,2021-04-14,2021-04-14 23:30:00,10060,82,83,0.969
CV00000077,2021-04-15,2021-04-15 23:30:00,10060,82,81,0.948
CV00000078,2021-04-16,2021-04-16 23:30:00,10060,74,74,0.931
CV00000079,2021-04-17,2021-04-17 23:30:00,10060,74,74,0.862
CV00000080,2021-04-18,2021-04-18 23:30:00,10060,74,73,0.944
CV00000081,2021-04-19,2021-04-19 23:30:00,10060,74,74,0.961
CV00000082,2021-04-20,2021-04-20 23:30:00,10060,74,74,0.926
CV00000083,2021-04-21,2021-04-21 23:30:00,10060,74,74,0.941
CV00000084,2021-04-22,2021-04-22 23:30:00,10060,74,75,0.938
CV00000085,2021-04-23,2021-04-23 23:30:00,10060,74,74,0.986
CV00000086,2021-04-24,2021-04-24 23:30:00,10060,74,73,0.981
CV00000087,2021-04-25,2021-04-25 23:30:00,10060,74,75,0.707
CV00000088,2021-04-26,2021-04-26 23:30:00,10060,74,74,0.886
CV00000089,2021-04-27,2021-04-27 23:30:00,10060,74,73,0.929
CV00000090,2021-04-28,2021-04-28 23:30:00,10060,74,73,0.93
CV00000091,2021-04-29,2021-04-29 23:30:00,10060,74,73,0.869
CV00000092,2021-04-30,2021-04-30 23:30:00,10060,74,73,0.874
CV00000093,2021-05-01,2021-05-01 23:30:00,10060,74,73,0.93
CV00000094,2021-05-02,2021-05-02 23:30:00,10060,74,74,0.952
CV00000095,2021-05-03,2021-05-03 23:30:00,10060,74,75,0.973
CV00000096,2021-05-04,2021-05-04 23:30:00,10060,74,74,0.979
CV00000097,2021-05-05,2021-05-05 23:30:00,10060,74,73,0.902
CV00000098,2021-05-06,2021-05-06 23:30:00,10060,74,75,0.961
CV00000099,2021-05-07,2021-05-07 23:30:00,10060,74,74,0.962
CV00000100,2021-05-08,2021-05-08 23:30:00,10060,74,74,0.959
CV00000101,2021-05-09,2021-05-09 23:30:00,10060,117,114,0.782
CV00000102,2021-05-10,2021-05-10 23:30:00,10060,68,69,0.898
CV00000103,2021-05-11,2021-05-11 23:30:00,10060,127,126,0.968
CV00000104,2021-05-12,2021-05-12 23:30:00,10060,103,102,0.931
CV00000105,2021-05-13,2021-05-13 23:30:00,10060,72,73,0.955
CV00000106,2021-05-14,2021-05-14 23:30:00,10060,142,143,0.895
CV00000107,2021-05-15,2021-05-15 23:30:00,10060,102,102,0.947
CV00000108,2021-05-16,2021-05-16 23:30:00,10060,82,83,0.885
CV00000109,2021-05-17,2021-05-17 23:30:00,10060,63,63,0.881
CV00000110,2021-05-18,2021-05-18 23:30:00,10060,132,131,0.963
CV00000111,2021-05-19,2021-05-19 23:30:00,10060,109,109,0.883
CV00000112,2021-05-20,2021-05-20 23:30:00,10060,84,84,0.919
CV00000113,2021-05-21,2021-05-21 23:30:00,10060,70,70,0.959
CV00000114,2021-05-22,2021-05-22 23:30:00,10060,149,150,0.88
CV00000115,2021-05-23,2021-05-23 23:30:00,10060,124,125,0.908
CV00000116,2021-05-24,2021-05-24 23:30:00,10060,101,101,0.917
CV00000117,2021-05-25,2021-05-25 23:30:00,10060,81,81,0.872
CV00000118,2021-05-26,2021-05-26 23:30:00,10060,70,70,0.925
CV00000119,2021-05-27,2021-05-27 23:30:00,10060,152,151,0.55
CV00000120,2021-05-28,2021-05-28 23:30:00,10060,123,122,0.623
CV00000121,2021-05-29,2021-05-29 23:30:00,10060,95,92,0.818
CV00000122,2021-05-30,2021-05-30 23:30:00,10060,83,82,0.875
CV00000123,2021-05-31,2021-05-31 23:30:00,10060,65,65,0.878
CV00000124,2021-06-01,2021-06-01 23:30:00,10060,149,149,0.978
CV00000125,2021-06-02,2021-06-02 23:30:00,10060,141,141,0.919
CV00000126,2021-06-03,2021-06-03 23:30:00,10060,125,125,0.951
CV00000127,2021-06-04,2021-06-04 23:30:00,10060,108,108,0.984
CV00000128,2021-06-05,2021-06-05 23:30:00,10060,93,94,0.759
CV00000129,2021-06-06,2021-06-06 23:30:00,10060,85,85,0.988
CV00000130,2021-06-07,2021-06-07 23:30:00,10060,60,60,0.923
CV00000131,2021-06-08,2021-06-08 23:30:00,10060,139,139,0.865
CV00000132,2021-06-09,2021-06-09 23:30:00,10060,131,131,0.951
CV00000133,2021-06-10,2021-06-10 23:30:00,10060,109,110,0.875
CV00000134,2021-06-11,2021-06-11 23:30:00,10060,93,94,0.944
CV00000135,2021-06-12,2021-06-12 23:30:00,10060,86,86,0.92
CV00000136,2021-06-13,2021-06-13 23:30:00,10060,83,83,0.897
CV00000137,2021-06-14,2021-06-14 23:30:00,10060,65,65,0.965
CV00000138,2021-06-15,2021-06-15 23:30:00,10060,147,147,0.899
CV00000139,2021-06-16,2021-06-16 23:30:00,10060,139,140,0.915
CV00000140,2021-06-17,2021-06-17 23:30:00,10060,123,123,0.906
CV00000141,2021-06-18,2021-06-18 23:30:00,10060,108,108,0.962
CV00000142,2021-06-19,2021-06-19 23:30:00,10060,107,108,0.884
CV00000143,2021-06-20,2021-06-20 23:30:00,10060,94,94,0.95
CV00000144,2021-06-21,2021-06-21 23:30:00,10060,85,84,0.93
CV00000145,2021-06-22,2021-06-22 23:30:00,10060,85,86,0.863
CV00000146,2021-06-23,2021-06-23 23:30:00,10060,73,73,0.91
CV00000147,2021-06-24,2021-06-24 23:30:00,10060,70,70,0.927
CV00000148,2021-06-25,2021-06-25 23:30:00,10060,70,69,0.917
CV00000149,2021-06-26,2021-06-26 23:30:00,10060,144,145,0.975
CV00000150,2021-06-27,2021-06-27 23:30:00,10060,142,142,0.866
CV00000151,2021-06-28,2021-06-28 23:30:00,10060,126,126,0.959
CV00000152,2021-06-29,2021-06-29 23:30:00,10060,115,116,0.982
CV00000153,2021-06-30,2021-06-30 23:30:00,10060,107,107,0.891
CV00000154,2021-07-01,2021-07-01 23:30:00,10060,88,86,0.728
CV00000155,2021-07-02,2021-07-02 23:30:00,10060,147,147,0.923
CV00000156,2021-07-03,2021-07-03 23:30:00,10060,115,115,0.944
CV00000157,2021-07-04,2021-07-04 23:30:00,10060,86,85,0.928
CV00000158,2021-07-05,2021-07-05 23:30:00,10060,145,145,0.897
CV00000159,2021-07-06,2021-07-06 23:30:00,10060,117,116,0.955
CV00000160,2021-07-07,2021-07-07 23:30:00,10060,69,68,0.914
CV00000161,2021-07-08,2021-07-08 23:30:00,10060,121,121,0.872
CV00000162,2021-07-09,2021-07-09 23:30:00,10060,76,75,0.901
CV00000163,2021-07-10,2021-07-10 23:30:00,10060,117,118,0.97
CV00000164,2021-07-11,2021-07-11 23:30:00,10060,70,70,0.971
CV00000165,2021-07-12,2021-07-12 23:30:00,10060,135,135,0.936
CV00000166,2021-07-13,2021-07-13 23:30:00,10060,102,103,0.867
CV00000167,2021-07-14,2021-07-14 23:30:00,10060,84,84,0.968
CV00000168,2021-07-15,2021-07-15 23:30:00,10060,139,139,0.893
CV00000169,2021-07-16,2021-07-16 23:30:00,10060,107,106,0.663
CV00000170,2021-07-17,2021-07-17 23:30:00,10060,142,138,0.76
CV00000171,2021-07-18,2021-07-18 23:30:00,10060,96,96,0.914
CV00000172,2021-07-19,2021-07-19 23:30:00,10060,72,72,0.975
CV00000173,2021-07-20,2021-07-20 23:30:00,10060,150,150,0.976
CV00000174,2021-07-21,2021-07-21 23:30:00,10060,136,137,0.937
CV00000175,2021-07-22,2021-07-22 23:30:00,10060,118,119,0.606
CV00000176,2021-07-23,2021-07-23 23:30:00,10060,94,93,0.99
CV00000177,2021-07-24,2021-07-24 23:30:00,10060,59,59,0.964
CV00000178,2021-07-25,2021-07-25 23:30:00,10060,128,128,0.971
CV00000179,2021-07-26,2021-07-26 23:30:00,10060,104,103,0.551
CV00000180,2021-07-27,2021-07-27 23:30:00,10060,86,86,0.928
CV00000181,2021-07-28,2021-07-28 23:30:00,10060,71,71,0.976
CV00000182,2021-07-29,2021-07-29 23:30:00,10060,146,146,0.912
CV00000183,2021-07-30,2021-07-30 23:30:00,10060,128,128,0.878
CV00000184,2021-07-31,2021-07-31 23:30:00,10060,91,92,0.887
CV00000185,2021-08-01,2021-08-01 23:30:00,10060,135,134,0.891
CV00000186,2021-08-02,2021-08-02 23:30:00,10060,101,101,0.94
CV00000187,2021-08-03,2021-08-03 23:30:00,10060,64,63,0.971
CV00000188,2021-08-04,2021-08-04 23:30:00,10060,122,122,0.986
CV00000189,2021-08-05,2021-08-05 23:30:00,10060,87,88,0.893
CV00000190,2021-08-06,2021-08-06 23:30:00,10060,140,140,0.975
CV00000191,2021-08-07,2021-08-07 23:30:00,10060,76,76,0.905
CV00000192,2021-08-08,2021-08-08 23:30:00,10060,120,121,0.915
CV00000193,2021-08-09,2021-08-09 23:30:00,10060,87,84,0.809
CV00000194,2021-08-10,2021-08-10 23:30:00,10060,143,142,0.914
CV00000195,2021-08-11,2021-08-11 23:30:00,10060,119,119,0.882
CV00000196,2021-08-12,2021-08-12 23:30:00,10060,93,93,0.969
CV00000197,2021-08-13,2021-08-13 23:30:00,10060,58,57,0.968
CV00000198,2021-08-14,2021-08-14 23:30:00,10060,101,101,0.907
CV00000199,2021-08-15,2021-08-15 23:30:00,10060,81,80,0.944
CV00000200,2021-08-16,2021-08-16 23:30:00,10060,145,145,0.914
CV00000201,2021-08-17,2021-08-17 23:30:00,10060,115,116,0.919
CV00000202,2021-08-18,2021-08-18 23:30:00,10060,83,84,0.876
CV00000203,2021-08-19,2021-08-19 23:30:00,10060,62,61,0.932
CV00000204,2021-08-20,2021-08-20 23:30:00,10060,127,124,0.795
CV00000205,2021-08-21,2021-08-21 23:30:00,10060,75,75,0.989
CV00000206,2021-08-22,2021-08-22 23:30:00,10060,145,144,0.966
CV00000207,2021-08-23,2021-08-23 23:30:00,10060,114,115,0.879
CV00000208,2021-08-24,2021-08-24 23:30:00,10060,96,96,0.937
CV00000209,2021-08-25,2021-08-25 23:30:00,10060,71,70,0.945
CV00000210,2021-08-26,2021-08-26 23:30:00,10060,144,145,0.987
CV00000211,2021-08-27,2021-08-27 23:30:00,10060,130,129,0.592
CV00000212,2021-08-28,2021-08-28 23:30:00,10060,129,129,0.882
CV00000213,2021-08-29,2021-08-29 23:30:00,10060,129,128,0.869
CV00000214,2021-08-30,2021-08-30 23:30:00,10060,129,129,0.976
CV00000215,2021-08-31,2021-08-31 23:30:00,10060,129,129,0.922
CV00000216,2021-09-01,2021-09-01 23:30:00,10060,129,130,0.92
CV00000217,2021-09-02,2021-09-02 23:30:00,10060,129,130,0.888
CV00000218,2021-09-03,2021-09-03 23:30:00,10060,129,130,0.973
CV00000219,2021-09-04,2021-09-04 23:30:00,10060,129,129,0.962
CV00000220,2021-09-05,2021-09-05 23:30:00,10060,129,129,0.95
CV00000221,2021-09-06,2021-09-06 23:30:00,10060,99,99,0.875
CV00000222,2021-09-07,2021-09-07 23:30:00,10060,152,153,0.9
CV00000223,2021-09-08,2021-09-08 23:30:00,10060,123,123,0.901
CV00000224,2021-09-09,2021-09-09 23:30:00,10060,99,99,0.898
CV00000225,2021-09-10,2021-09-10 23:30:00,10060,60,60,0.957
CV00000226,2021-09-11,2021-09-11 23:30:00,10060,122,122,0.961
CV00000227,2021-09-12,2021-09-12 23:30:00,10060,98,98,0.887
CV00000228,2021-09-13,2021-09-13 23:30:00,10060,73,74,0.911
CV00000229,2021-09-14,2021-09-14 23:30:00,10060,141,142,0.881
CV00000230,2021-09-15,2021-09-15 23:30:00,10060,123,123,0.936
CV00000231,2021-09-16,2021-09-16 23:30:00,10060,94,94,0.942
CV00000232,2021-09-17,2021-09-17 23:30:00,10060,68,68,0.961
CV00000233,2021-09-18,2021-09-18 23:30:00,10060,127,128,0.948
CV00000234,2021-09-19,2021-09-19 23:30:00,10060,99,98,0.971
CV00000235,2021-09-20,2021-09-20 23:30:00,10060,74,74,0.884
CV00000236,2021-09-21,2021-09-21 23:30:00,10060,59,60,0.933
CV00000237,2021-09-22,2021-09-22 23:30:00,10060,131,132,0.869
CV00000238,2021-09-23,2021-09-23 23:30:00,10060,109,108,0.975
CV00000239,2021-09-24,2021-09-24 23:30:00,10060,73,74,0.884
CV00000240,2021-09-25,2021-09-25 23:30:00,10060,125,125,0.927
CV00000241,2021-09-26,2021-09-26 23:30:00,10060,97,97,0.907
CV00000242,2021-09-27,2021-09-27 23:30:00,10060,71,72,0.916
CV00000243,2021-09-28,2021-09-28 23:30:00,10060,149,149,0.89
CV00000244,2021-09-29,2021-09-29 23:30:00,10060,136,136,0.977
CV00000245,2021-09-30,2021-09-30 23:30:00,10060,122,123,0.721
CV00000246,2021-10-01,2021-10-01 23:30:00,10060,89,89,0.928
CV00000247,2021-10-02,2021-10-02 23:30:00,10060,129,129,0.946
CV00000248,2021-10-03,2021-10-03 23:30:00,10060,90,91,0.864
CV00000249,2021-10-04,2021-10-04 23:30:00,10060,62,61,0.952
CV00000250,2021-10-05,2021-10-05 23:30:00,10060,130,130,0.887
CV00000251,2021-10-06,2021-10-06 23:30:00,10060,75,76,0.905
CV00000252,2021-10-07,2021-10-07 23:30:00,10060,113,114,0.935
CV00000253,2021-10-08,2021-10-08 23:30:00,10060,62,62,0.911
CV00000254,2021-10-09,2021-10-09 23:30:00,10060,97,96,0.97
CV00000255,2021-10-10,2021-10-10 23:30:00,10060,144,144,0.97
CV00000256,2021-10-11,2021-10-11 23:30:00,10060,114,111,0.786
CV00000257,2021-10-12,2021-10-12 23:30:00,10060,93,93,0.953
CV00000258,2021-10-13,2021-10-13 23:30:00,10060,75,74,0.881
CV00000259,2021-10-14,2021-10-14 23:30:00,10060,66,65,0.938
CV00000260,2021-10-15,2021-10-15 23:30:00,10060,120,119,0.947
CV00000261,2021-10-16,2021-10-16 23:30:00,10060,72,71,0.963
CV00000262,2021-10-17,2021-10-17 23:30:00,10060,136,136,0.969
CV00000263,2021-10-18,2021-10-18 23:30:00,10060,103,103,0.988
CV00000264,2021-10-19,2021-10-19 23:30:00,10060,76,77,0.872
CV00000265,2021-10-20,2021-10-20 23:30:00,10060,144,144,0.966
CV00000266,2021-10-21,2021-10-21 23:30:00,10060,131,131,0.977
CV00000267,2021-10-22,2021-10-22 23:30:00,10060,104,104,0.944
CV00000268,2021-10-23,2021-10-23 23:30:00,10060,65,65,0.912
CV00000269,2021-10-24,2021-10-24 23:30:00,10060,121,121,0.871
CV00000270,2021-10-25,2021-10-25 23:30:00,10060,106,106,0.963
CV00000271,2021-10-26,2021-10-26 23:30:00,10060,72,73,0.874
CV00000272,2021-10-27,2021-10-27 23:30:00,10060,146,145,0.935
CV00000273,2021-10-28,2021-10-28 23:30:00,10060,116,116,0.943
CV00000274,2021-10-29,2021-10-29 23:30:00,10060,83,83,0.886
CV00000275,2021-10-30,2021-10-30 23:30:00,10060,83,83,0.966
CV00000276,2021-10-31,2021-10-31 23:30:00,10060,83,83,0.965
CV00000277,2021-11-01,2021-11-01 23:30:00,10060,83,83,0.925
CV00000278,2021-11-02,2021-11-02 23:30:00,10060,83,83,0.933
CV00000279,2021-11-03,2021-11-03 23:30:00,10060,83,83,0.885
CV00000280,2021-11-04,2021-11-04 23:30:00,10060,83,84,0.861
CV00000281,2021-11-05,2021-11-05 23:30:00,10060,83,83,0.895
CV00000282,2021-11-06,2021-11-06 23:30:00,10060,125,125,0.862
CV00000283,2021-11-07,2021-11-07 23:30:00,10060,79,79,0.931
CV00000284,2021-11-08,2021-11-08 23:30:00,10060,151,151,0.97
CV00000285,2021-11-09,2021-11-09 23:30:00,10060,119,116,0.747
CV00000286,2021-11-10,2021-11-10 23:30:00,10060,96,96,0.969
CV00000287,2021-11-11,2021-11-11 23:30:00,10060,79,79,0.937
CV00000288,2021-11-12,2021-11-12 23:30:00,10060,135,135,0.883
CV00000289,2021-11-13,2021-11-13 23:30:00,10060,110,109,0.922
CV00000290,2021-11-14,2021-11-14 23:30:00,10060,63,64,0.886
CV00000291,2021-11-15,2021-11-15 23:30:00,10060,140,140,0.954
CV00000292,2021-11-16,2021-11-16 23:30:00,10060,115,115,0.93
CV00000293,2021-11-17,2021-11-17 23:30:00,10060,99,99,0.882
CV00000294,2021-11-18,2021-11-18 23:30:00,10060,76,76,0.911
CV00000295,2021-11-19,2021-11-19 23:30:00,10060,143,144,0.966
CV00000296,2021-11-20,2021-11-20 23:30:00,10060,115,115,0.925
CV00000297,2021-11-21,2021-11-21 23:30:00,10060,80,80,0.893
CV00000298,2021-11-22,2021-11-22 23:30:00,10060,64,60,0.839
CV00000299,2021-11-23,2021-11-23 23:30:00,10060,135,134,0.923
CV00000300,2021-11-24,2021-11-24 23:30:00,10060,130,130,0.963
CV00000301,2021-11-25,2021-11-25 23:30:00,10060,116,117,0.979
CV00000302,2021-11-26,2021-11-26 23:30:00,10060,100,100,0.931
CV00000303,2021-11-27,2021-11-27 23:30:00,10060,149,149,0.923
CV00000304,2021-11-28,2021-11-28 23:30:00,10060,130,130,0.935
CV00000305,2021-11-29,2021-11-29 23:30:00,10060,122,121,0.779
CV00000306,2021-11-30,2021-11-30 23:30:00,10060,106,106,0.911
CV00000307,2021-12-01,2021-12-01 23:30:00,10060,91,90,0.974
CV00000308,2021-12-02,2021-12-02 23:30:00,10060,73,73,0.884
CV00000309,2021-12-03,2021-12-03 23:30:00,10060,129,128,0.869
CV00000310,2021-12-04,2021-12-04 23:30:00,10060,66,66,0.959
CV00000311,2021-12-05,2021-12-05 23:30:00,10060,130,130,0.941
CV00000312,2021-12-06,2021-12-06 23:30:00,10060,100,100,0.92
CV00000313,2021-12-07,2021-12-07 23:30:00,10060,80,80,0.974
CV00000314,2021-12-08,2021-12-08 23:30:00,10060,150,150,0.955
CV00000315,2021-12-09,2021-12-09 23:30:00,10060,135,136,0.895
CV00000316,2021-12-10,2021-12-10 23:30:00,10060,87,87,0.914
CV00000317,2021-12-11,2021-12-11 23:30:00,10060,150,149,0.884
CV00000318,2021-12-12,2021-12-12 23:30:00,10060,124,124,0.926
CV00000319,2021-12-13,2021-12-13 23:30:00,10060,101,101,0.903
CV00000320,2021-12-14,2021-12-14 23:30:00,10060,70,70,0.961
CV00000321,2021-12-15,2021-12-15 23:30:00,10060,148,149,0.751
CV00000322,2021-12-16,2021-12-16 23:30:00,10060,130,131,0.921
CV00000323,2021-12-17,2021-12-17 23:30:00,10060,94,95,0.973
CV00000324,2021-12-18,2021-12-18 23:30:00,10060,152,152,0.88
CV00000325,2021-12-19,2021-12-19 23:30:00,10060,138,138,0.939
CV00000326,2021-12-20,2021-12-20 23:30:00,10060,109,110,0.962
CV00000327,2021-12-21,2021-12-21 23:30:00,10060,79,78,0.883
CV00000328,2021-12-22,2021-12-22 23:30:00,10060,65,64,0.692
CV00000329,2021-12-23,2021-12-23 23:30:00,10060,147,147,0.931
CV00000330,2021-12-24,2021-12-24 23:30:00,10060,130,130,0.913
CV00000331,2021-12-25,2021-12-25 23:30:00,10060,130,130,0.934
CV00000332,2021-12-26,2021-12-26 23:30:00,10060,92,93,0.655
CV00000333,2021-12-27,2021-12-27 23:30:00,10060,67,67,0.954
CV00000334,2021-12-28,2021-12-28 23:30:00,10060,145,142,0.735
CV00000335,2021-12-29,2021-12-29 23:30:00,10060,124,125,0.975
CV00000336,2021-12-30,2021-12-30 23:30:00,10060,108,108,0.902
CV00000337,2021-12-31,2021-12-31 23:30:00,10060,95,96,0.9
CV00000338,2022-01-01,2022-01-01 23:30:00,10060,78,78,0.944
CV00000339,2022-01-02,2022-01-02 23:30:00,10060,142,143,0.936
CV00000340,2022-01-03,2022-01-03 23:30:00,10060,106,106,0.95
CV00000341,2022-01-04,2022-01-04 23:30:00,10060,78,77,0.944
CV00000342,2022-01-05,2022-01-05 23:30:00,10060,143,143,0.948
CV00000343,2022-01-06,2022-01-06 23:30:00,10060,114,114,0.869
CV00000344,2022-01-07,2022-01-07 23:30:00,10060,81,82,0.655
CV00000345,2022-01-08,2022-01-08 23:30:00,10060,125,125,0.881
CV00000346,2022-01-09,2022-01-09 23:30:00,10060,84,83,0.931
CV00000347,2022-01-10,2022-01-10 23:30:00,10060,145,145,0.866
CV00000348,2022-01-11,2022-01-11 23:30:00,10060,132,132,0.922
CV00000349,2022-01-12,2022-01-12 23:30:00,10060,114,114,0.977
CV00000350,2022-01-13,2022-01-13 23:30:00,10060,92,92,0.942
CV00000351,2022-01-14,2022-01-14 23:30:00,10060,71,70,0.982
CV00000352,2022-01-15,2022-01-15 23:30:00,10060,127,128,0.965
CV00000353,2022-01-16,2022-01-16 23:30:00,10060,99,99,0.888
CV00000354,2022-01-17,2022-01-17 23:30:00,10060,83,83,0.891
CV00000355,2022-01-18,2022-01-18 23:30:00,10060,150,151,0.99
CV00000356,2022-01-19,2022-01-19 23:30:00,10060,130,130,0.957
CV00000357,2022-01-20,2022-01-20 23:30:00,10060,106,106,0.866
CV00000358,2022-01-21,2022-01-21 23:30:00,10060,74,73,0.892
CV00000359,2022-01-22,2022-01-22 23:30:00,10060,141,142,0.897
CV00000360,2022-01-23,2022-01-23 23:30:00,10060,95,95,0.87
CV00000361,2022-01-24,2022-01-24 23:30:00,10060,83,82,0.884
CV00000362,2022-01-25,2022-01-25 23:30:00,10060,67,67,0.88
CV00000363,2022-01-26,2022-01-26 23:30:00,10060,136,136,0.966
CV00000364,2022-01-27,2022-01-27 23:30:00,10060,121,121,0.868
CV00000365,2022-01-28,2022-01-28 23:30:00,10060,93,89,0.783
CV00000366,2022-01-29,2022-01-29 23:30:00,10060,146,146,0.959
CV00000367,2022-01-30,2022-01-30 23:30:00,10060,113,113,0.891
CV00000368,2022-01-31,2022-01-31 23:30:00,10060,92,92,0.916
CV00000369,2022-02-01,2022-02-01 23:30:00,10060,74,74,0.862
CV00000370,2022-02-02,2022-02-02 23:30:00,10060,138,138,0.936
CV00000371,2022-02-03,2022-02-03 23:30:00,10060,111,111,0.894
CV00000372,2022-02-04,2022-02-04 23:30:00,10060,74,74,0.872
CV00000373,2022-02-05,2022-02-05 23:30:00,10060,138,138,0.887
CV00000374,2022-02-06,2022-02-06 23:30:00,10060,112,112,0.862
CV00000375,2022-02-07,2022-02-07 23:30:00,10060,78,78,0.892
CV00000376,2022-02-08,2022-02-08 23:30:00,10060,141,141,0.952
