date,sku_id,opening_stock,units_sold,restock_qty,closing_stock,expected_stock
2021-04-10,10060,98,8,0,90,90
2021-04-11,10060,90,8,0,82,82
2021-04-12,10060,82,0,0,82,82
2021-04-13,10060,82,0,0,82,82
2021-04-14,10060,82,0,0,82,82
2021-04-15,10060,82,0,0,82,82
2021-04-16,10060,82,8,0,74,74
2021-04-17,10060,74,0,0,74,74
2021-04-18,10060,74,0,0,74,74
2021-04-19,10060,74,0,0,74,74
2021-04-20,10060,74,0,0,74,74
2021-04-21,10060,74,0,0,74,74
2021-04-22,10060,74,0,0,74,74
2021-04-23,10060,74,0,0,74,74
2021-04-24,10060,74,0,0,74,74
2021-04-25,10060,74,0,0,74,74
2021-04-26,10060,74,0,0,74,74
2021-04-27,10060,74,0,0,74,74
2021-04-28,10060,74,0,0,74,74
2021-04-29,10060,74,0,0,74,74
2021-04-30,10060,74,0,0,74,74
2021-05-01,10060,74,0,0,74,74
2021-05-02,10060,74,0,0,74,74
2021-05-03,10060,74,0,0,74,74
2021-05-04,10060,74,0,0,74,74
2021-05-05,10060,74,0,0,74,74
2021-05-06,10060,74,0,0,74,74
2021-05-07,10060,74,0,0,74,74
2021-05-08,10060,74,0,0,74,74
2021-05-09,10060,74,53,96,117,21
2021-05-10,10060,117,49,0,68,68
2021-05-11,10060,68,37,96,127,31
2021-05-12,10060,127,24,0,103,103
2021-05-13,10060,103,31,0,72,72
2021-05-14,10060,72,26,96,142,46
2021-05-15,10060,142,40,0,102,102
2021-05-16,10060,102,20,0,82,82
2021-05-17,10060,82,19,0,63,63
2021-05-18,10060,63,27,96,132,36
2021-05-19,10060,132,23,0,109,109
2021-05-20,10060,109,25,0,84,84
2021-05-21,10060,84,14,0,70,70
2021-05-22,10060,70,17,96,149,53
2021-05-23,10060,149,25,0,124,124
2021-05-24,10060,124,23,0,101,101
2021-05-25,10060,101,20,0,81,81
2021-05-26,10060,81,11,0,70,70
2021-05-27,10060,70,14,96,152,56
2021-05-28,10060,152,29,0,123,123
2021-05-29,10060,123,28,0,95,95
2021-05-30,10060,95,12,0,83,83
2021-05-31,10060,83,18,0,65,65
2021-06-01,10060,65,12,96,149,53
2021-06-02,10060,149,8,0,141,141
2021-06-03,10060,141,16,0,125,125
2021-06-04,10060,125,17,0,108,108
2021-06-05,10060,108,15,0,93,93
2021-06-06,10060,93,8,0,85,85
2021-06-07,10060,85,25,0,60,60
2021-06-08,10060,60,17,96,139,43
2021-06-09,10060,139,8,0,131,131
2021-06-10,10060,131,22,0,109,109
2021-06-11,10060,109,16,0,93,93
2021-06-12,10060,93,7,0,86,86
2021-06-13,10060,86,3,0,83,83
2021-06-14,10060,83,18,0,65,65
2021-06-15,10060,65,14,96,147,51
2021-06-16,10060,147,8,0,139,139
2021-06-17,10060,139,16,0,123,123
2021-06-18,10060,123,15,0,108,108
2021-06-19,10060,108,1,0,107,107
2021-06-20,10060,107,13,0,94,94
2021-06-21,10060,94,9,0,85,85
2021-06-22,10060,85,0,0,85,85
2021-06-23,10060,85,12,0,73,73
2021-06-24,10060,73,3,0,70,70
2021-06-25,10060,70,0,0,70,70
2021-06-26,10060,70,22,96,144,48
2021-06-27,10060,144,2,0,142,142
2021-06-28,10060,142,16,0,126,126
2021-06-29,10060,126,11,0,115,115
2021-06-30,10060,115,8,0,107,107
2021-07-01,10060,107,19,0,88,88
2021-07-02,10060,88,37,96,147,51
2021-07-03,10060,147,32,0,115,115
2021-07-04,10060,115,29,0,86,86
2021-07-05,10060,86,37,96,145,49
2021-07-06,10060,145,28,0,117,117
2021-07-07,10060,117,48,0,69,69
2021-07-08,10060,69,44,96,121,25
2021-07-09,10060,121,45,0,76,76
2021-07-10,10060,76,55,96,117,21
2021-07-11,10060,117,47,0,70,70
2021-07-12,10060,70,31,96,135,39
2021-07-13,10060,135,33,0,102,102
2021-07-14,10060,102,18,0,84,84
2021-07-15,10060,84,41,96,139,43
2021-07-16,10060,139,32,0,107,107
2021-07-17,10060,107,61,96,142,46
2021-07-18,10060,142,46,0,96,96
2021-07-19,10060,96,24,0,72,72
2021-07-20,10060,72,18,96,150,54
2021-07-21,10060,150,14,0,136,136
2021-07-22,10060,136,18,0,118,118
2021-07-23,10060,118,24,0,94,94
2021-07-24,10060,94,35,0,59,59
2021-07-25,10060,59,27,96,128,32
2021-07-26,10060,128,24,0,104,104
2021-07-27,10060,104,18,0,86,86
2021-07-28,10060,86,15,0,71,71
2021-07-29,10060,71,21,96,146,50
2021-07-30,10060,146,18,0,128,128
2021-07-31,10060,128,37,0,91,91
2021-08-01,10060,91,52,96,135,39
2021-08-02,10060,135,34,0,101,101
2021-08-03,10060,101,37,0,64,64
2021-08-04,10060,64,38,96,122,26
2021-08-05,10060,122,35,0,87,87
2021-08-06,10060,87,43,96,140,44
2021-08-07,10060,140,64,0,76,76
2021-08-08,10060,76,52,96,120,24
2021-08-09,10060,120,33,0,87,87
2021-08-10,10060,87,40,96,143,47
2021-08-11,10060,143,24,0,119,119
2021-08-12,10060,119,26,0,93,93
2021-08-13,10060,93,35,0,58,58
2021-08-14,10060,58,53,96,101,5
2021-08-15,10060,101,20,0,81,81
2021-08-16,10060,81,32,96,145,49
2021-08-17,10060,145,30,0,115,115
2021-08-18,10060,115,32,0,83,83
2021-08-19,10060,83,21,0,62,62
2021-08-20,10060,62,31,96,127,31
2021-08-21,10060,127,52,0,75,75
2021-08-22,10060,75,26,96,145,49
2021-08-23,10060,145,31,0,114,114
2021-08-24,10060,114,18,0,96,96
2021-08-25,10060,96,25,0,71,71
2021-08-26,10060,71,23,96,144,48
2021-08-27,10060,144,14,0,130,130
2021-08-28,10060,130,1,0,129,129
2021-08-29,10060,129,0,0,129,129
2021-08-30,10060,129,0,0,129,129
2021-08-31,10060,129,0,0,129,129
2021-09-01,10060,129,0,0,129,129
2021-09-02,10060,129,0,0,129,129
2021-09-03,10060,129,0,0,129,129
2021-09-04,10060,129,0,0,129,129
2021-09-05,10060,129,0,0,129,129
2021-09-06,10060,129,30,0,99,99
2021-09-07,10060,99,43,96,152,56
2021-09-08,10060,152,29,0,123,123
2021-09-09,10060,123,24,0,99,99
2021-09-10,10060,99,39,0,60,60
2021-09-11,10060,60,34,96,122,26
2021-09-12,10060,122,24,0,98,98
2021-09-13,10060,98,25,0,73,73
2021-09-14,10060,73,28,96,141,45
2021-09-15,10060,141,18,0,123,123
2021-09-16,10060,123,29,0,94,94
2021-09-17,10060,94,26,0,68,68
2021-09-18,10060,68,37,96,127,31
2021-09-19,10060,127,28,0,99,99
2021-09-20,10060,99,25,0,74,74
2021-09-21,10060,74,15,0,59,59
2021-09-22,10060,59,24,96,131,35
2021-09-23,10060,131,22,0,109,109
2021-09-24,10060,109,36,0,73,73
2021-09-25,10060,73,44,96,125,29
2021-09-26,10060,125,28,0,97,97
2021-09-27,10060,97,26,0,71,71
2021-09-28,10060,71,18,96,149,53
2021-09-29,10060,149,13,0,136,136
2021-09-30,10060,136,14,0,122,122
2021-10-01,10060,122,33,0,89,89
2021-10-02,10060,89,56,96,129,33
2021-10-03,10060,129,39,0,90,90
2021-10-04,10060,90,28,0,62,62
2021-10-05,10060,62,28,96,130,34
2021-10-06,10060,130,55,0,75,75
2021-10-07,10060,75,58,96,113,17
2021-10-08,10060,113,51,0,62,62
2021-10-09,10060,62,61,96,97,1
2021-10-10,10060,97,49,96,144,48
2021-10-11,10060,144,30,0,114,114
2021-10-12,10060,114,21,0,93,93
2021-10-13,10060,93,18,0,75,75
2021-10-14,10060,75,9,0,66,66
2021-10-15,10060,66,42,96,120,24
2021-10-16,10060,120,48,0,72,72
2021-10-17,10060,72,32,96,136,40
2021-10-18,10060,136,33,0,103,103
2021-10-19,10060,103,27,0,76,76
2021-10-20,10060,76,28,96,144,48
2021-10-21,10060,144,13,0,131,131
2021-10-22,10060,131,27,0,104,104
2021-10-23,10060,104,39,0,65,65
2021-10-24,10060,65,40,96,121,25
2021-10-25,10060,121,15,0,106,106
2021-10-26,10060,106,34,0,72,72
2021-10-27,10060,72,22,96,146,50
2021-10-28,10060,146,30,0,116,116
2021-10-29,10060,116,33,0,83,83
2021-10-30,10060,83,0,0,83,83
2021-10-31,10060,83,0,0,83,83
2021-11-01,10060,83,0,0,83,83
2021-11-02,10060,83,0,0,83,83
2021-11-03,10060,83,0,0,83,83
2021-11-04,10060,83,0,0,83,83
2021-11-05,10060,83,0,0,83,83
2021-11-06,10060,83,54,96,125,29
2021-11-07,10060,125,46,0,79,79
2021-11-08,10060,79,24,96,151,55
2021-11-09,10060,151,32,0,119,119
2021-11-10,10060,119,23,0,96,96
2021-11-11,10060,96,17,0,79,79
2021-11-12,10060,79,40,96,135,39
2021-11-13,10060,135,25,0,110,110
2021-11-14,10060,110,47,0,63,63
2021-11-15,10060,63,19,96,140,44
2021-11-16,10060,140,25,0,115,115
2021-11-17,10060,115,16,0,99,99
2021-11-18,10060,99,23,0,76,76
2021-11-19,10060,76,29,96,143,47
2021-11-20,10060,143,28,0,115,115
2021-11-21,10060,115,35,0,80,80
2021-11-22,10060,80,16,0,64,64
2021-11-23,10060,64,25,96,135,39
2021-11-24,10060,135,5,0,130,130
2021-11-25,10060,130,14,0,116,116
2021-11-26,10060,116,16,0,100,100
2021-11-27,10060,100,47,96,149,53
2021-11-28,10060,149,19,0,130,130
2021-11-29,10060,130,8,0,122,122
2021-11-30,10060,122,16,0,106,106
2021-12-01,10060,106,15,0,91,91
2021-12-02,10060,91,18,0,73,73
2021-12-03,10060,73,40,96,129,33
2021-12-04,10060,129,63,0,66,66
2021-12-05,10060,66,32,96,130,34
2021-12-06,10060,130,30,0,100,100
2021-12-07,10060,100,20,0,80,80
2021-12-08,10060,80,26,96,150,54
2021-12-09,10060,150,15,0,135,135
2021-12-10,10060,135,48,0,87,87
2021-12-11,10060,87,33,96,150,54
2021-12-12,10060,150,26,0,124,124
2021-12-13,10060,124,23,0,101,101
2021-12-14,10060,101,31,0,70,70
2021-12-15,10060,70,18,96,148,52
2021-12-16,10060,148,18,0,130,130
2021-12-17,10060,130,36,0,94,94
2021-12-18,10060,94,38,96,152,56
2021-12-19,10060,152,14,0,138,138
2021-12-20,10060,138,29,0,109,109
2021-12-21,10060,109,30,0,79,79
2021-12-22,10060,79,14,0,65,65
2021-12-23,10060,65,14,96,147,51
2021-12-24,10060,147,17,0,130,130
2021-12-25,10060,130,0,0,130,130
2021-12-26,10060,130,38,0,92,92
2021-12-27,10060,92,25,0,67,67
2021-12-28,10060,67,18,96,145,49
2021-12-29,10060,145,21,0,124,124
2021-12-30,10060,124,16,0,108,108
2021-12-31,10060,108,13,0,95,95
2022-01-01,10060,95,17,0,78,78
2022-01-02,10060,78,32,96,142,46
2022-01-03,10060,142,36,0,106,106
2022-01-04,10060,106,28,0,78,78
2022-01-05,10060,78,31,96,143,47
2022-01-06,10060,143,29,0,114,114
2022-01-07,10060,114,33,0,81,81
2022-01-08,10060,81,52,96,125,29
2022-01-09,10060,125,41,0,84,84
2022-01-10,10060,84,35,96,145,49
2022-01-11,10060,145,13,0,132,132
2022-01-12,10060,132,18,0,114,114
2022-01-13,10060,114,22,0,92,92
2022-01-14,10060,92,21,0,71,71
2022-01-15,10060,71,40,96,127,31
2022-01-16,10060,127,28,0,99,99
2022-01-17,10060,99,16,0,83,83
2022-01-18,10060,83,29,96,150,54
2022-01-19,10060,150,20,0,130,130
2022-01-20,10060,130,24,0,106,106
2022-01-21,10060,106,32,0,74,74
2022-01-22,10060,74,29,96,141,45
2022-01-23,10060,141,46,0,95,95
2022-01-24,10060,95,12,0,83,83
2022-01-25,10060,83,16,0,67,67
2022-01-26,10060,67,27,96,136,40
2022-01-27,10060,136,15,0,121,121
2022-01-28,10060,121,28,0,93,93
2022-01-29,10060,93,43,96,146,50
2022-01-30,10060,146,33,0,113,113
2022-01-31,10060,113,21,0,92,92
2022-02-01,10060,92,18,0,74,74
2022-02-02,10060,74,32,96,138,42
2022-02-03,10060,138,27,0,111,111
2022-02-04,10060,111,37,0,74,74
2022-02-05,10060,74,32,96,138,42
2022-02-06,10060,138,26,0,112,112
2022-02-07,10060,112,34,0,78,78
2022-02-08,10060,78,33,96,141,45
2022-02-09,10060,141,9,0,132,132
2022-02-10,10060,132,31,0,101,101
2022-02-11,10060,101,34,0,67,67
2022-02-12,10060,67,32,96,131,35
2022-02-13,10060,131,38,0,93,93
2022-02-14,10060,93,8,0,85,85
2022-02-15,10060,85,17,0,68,68
2022-02-16,10060,68,17,96,147,51
2022-02-17,10060,147,15,0,132,132
2022-02-18,10060,132,31,0,101,101
2022-02-19,10060,101,38,0,63,63
2022-02-20,10060,63,24,96,135,39
2022-02-21,10060,135,21,0,114,114
2022-02-22,10060,114,22,0,92,92
2022-02-23,10060,92,21,0,71,71
2022-02-24,10060,71,15,96,152,56
2022-02-25,10060,152,22,0,130,130
2022-02-26,10060,130,25,0,105,105
2022-02-27,10060,105,18,0,87,87
2022-02-28,10060,87,46,96,137,41
2022-03-01,10060,137,17,0,120,120
2022-03-02,10060,120,2,0,118,118
2022-03-03,10060,118,0,0,118,118
2022-03-04,10060,118,0,0,118,118
2022-03-05,10060,118,0,0,118,118
2022-03-06,10060,118,0,0,118,118
2022-03-07,10060,118,0,0,118,118
2022-03-08,10060,118,0,0,118,118
2022-03-09,10060,118,0,0,118,118
2022-03-10,10060,118,0,0,118,118
2022-03-11,10060,118,0,0,118,118
2022-03-12,10060,118,0,0,118,118
2022-03-13,10060,118,0,0,118,118
2022-03-14,10060,118,0,0,118,118
2022-03-15,10060,118,0,0,118,118
2022-03-16,10060,118,0,0,118,118
2022-03-17,10060,118,0,0,118,118
2022-03-18,10060,118,0,0,118,118
2022-03-19,10060,118,0,0,118,118
2022-03-20,10060,118,0,0,118,118
2022-03-21,10060,118,0,0,118,118
2022-03-22,10060,118,0,0,118,118
2022-03-23,10060,118,0,0,118,118
2022-03-24,10060,118,0,0,118,118
2022-03-25,10060,118,0,0,118,118
2022-03-26,10060,118,12,0,106,106
2022-03-27,10060,106,15,0,91,91
2022-03-28,10060,91,15,0,76,76
2022-03-29,10060,76,13,0,63,63
2022-03-30,10060,63,21,96,138,42
2022-03-31,10060,138,15,0,123,123
2022-04-01,10060,123,34,0,89,89
2022-04-02,10060,89,31,0,58,58
2022-04-03,10060,58,12,96,142,46
2022-04-04,10060,142,0,0,142,142
2022-04-05,10060,142,17,0,125,125
2022-04-06,10060,125,30,0,95,95
2022-04-07,10060,95,43,96,148,52
2022-04-08,10060,148,37,0,111,111
2022-04-09,10060,111,33,0,78,78
2022-04-10,10060,78,39,96,135,39
2022-04-11,10060,135,24,0,111,111
2022-04-12,10060,111,19,0,92,92
2022-04-13,10060,92,32,0,60,60
2022-04-14,10060,60,19,96,137,41
2022-04-15,10060,137,16,0,121,121
2022-04-16,10060,121,28,0,93,93
2022-04-17,10060,93,13,0,80,80
2022-04-18,10060,80,27,96,149,53
2022-04-19,10060,149,6,0,143,143
2022-04-20,10060,143,9,0,134,134
2022-04-21,10060,134,20,0,114,114
2022-04-22,10060,114,35,0,79,79
2022-04-23,10060,79,27,96,148,52
2022-04-24,10060,148,30,0,118,118
2022-04-25,10060,118,13,0,105,105
2022-04-26,10060,105,16,0,89,89
2022-04-27,10060,89,19,0,70,70
2022-04-28,10060,70,18,96,148,52
2022-04-29,10060,148,19,0,129,129
2022-04-30,10060,129,18,0,111,111
2022-05-01,10060,111,38,0,73,73
2022-05-02,10060,73,24,96,145,49
2022-05-03,10060,145,14,0,131,131
2022-05-04,10060,131,23,0,108,108
2022-05-05,10060,108,23,0,85,85
2022-05-06,10060,85,33,96,148,52
2022-05-07,10060,148,27,0,121,121
2022-05-08,10060,121,33,0,88,88
2022-05-09,10060,88,19,0,69,69
2022-05-10,10060,69,41,96,124,28
2022-05-11,10060,124,20,0,104,104
2022-05-12,10060,104,22,0,82,82
2022-05-13,10060,82,23,0,59,59
2022-05-14,10060,59,26,96,129,33
2022-05-15,10060,129,15,0,114,114
2022-05-16,10060,114,20,0,94,94
2022-05-17,10060,94,23,0,71,71
2022-05-18,10060,71,19,96,148,52
2022-05-19,10060,148,23,0,125,125
2022-05-20,10060,125,37,0,88,88
2022-05-21,10060,88,31,0,57,57
2022-05-22,10060,57,10,96,143,47
2022-05-23,10060,143,9,0,134,134
2022-05-24,10060,134,17,0,117,117
2022-05-25,10060,117,16,0,101,101
2022-05-26,10060,101,23,0,78,78
2022-05-27,10060,78,28,96,146,50
2022-05-28,10060,146,22,0,124,124
2022-05-29,10060,124,16,0,108,108
2022-05-30,10060,108,18,0,90,90
2022-05-31,10060,90,16,0,74,74
2022-06-01,10060,74,17,0,57,57
2022-06-02,10060,57,35,96,118,22
2022-06-03,10060,118,0,0,118,118
2022-06-04,10060,118,37,0,81,81
2022-06-05,10060,81,42,96,135,39
2022-06-06,10060,135,35,0,100,100
2022-06-07,10060,100,33,0,67,67
2022-06-08,10060,67,30,96,133,37
2022-06-09,10060,133,38,0,95,95
2022-06-10,10060,95,33,0,62,62
2022-06-11,10060,62,32,96,126,30
2022-06-12,10060,126,26,0,100,100
2022-06-13,10060,100,17,0,83,83
2022-06-14,10060,83,12,0,71,71
2022-06-15,10060,71,13,0,58,58
2022-06-16,10060,58,27,96,127,31
2022-06-17,10060,127,28,0,99,99
2022-06-18,10060,99,18,0,81,81
2022-06-19,10060,81,39,96,138,42
2022-06-20,10060,138,10,0,128,128
2022-06-21,10060,128,15,0,113,113
2022-06-22,10060,113,21,0,92,92
2022-06-23,10060,92,14,0,78,78
2022-06-24,10060,78,41,96,133,37
2022-06-25,10060,133,18,0,115,115
2022-06-26,10060,115,25,0,90,90
2022-06-27,10060,90,9,0,81,81
2022-06-28,10060,81,14,0,67,67
2022-06-29,10060,67,23,96,140,44
2022-06-30,10060,140,16,0,124,124
2022-07-01,10060,124,37,0,87,87
2022-07-02,10060,87,26,0,61,61
2022-07-03,10060,61,38,96,119,23
2022-07-04,10060,119,5,0,114,114
2022-07-05,10060,114,0,0,114,114
2022-07-06,10060,114,0,0,114,114
2022-07-07,10060,114,28,0,86,86
2022-07-08,10060,86,42,96,140,44
2022-07-09,10060,140,36,0,104,104
2022-07-10,10060,104,25,0,79,79
2022-07-11,10060,79,18,0,61,61
2022-07-12,10060,61,29,96,128,32
2022-07-13,10060,128,21,0,107,107
2022-07-14,10060,107,24,0,83,83
2022-07-15,10060,83,25,0,58,58
2022-07-16,10060,58,38,96,116,20
2022-07-17,10060,116,11,0,105,105
2022-07-18,10060,105,7,0,98,98
2022-07-19,10060,98,23,0,75,75
2022-07-20,10060,75,19,96,152,56
2022-07-21,10060,152,31,0,121,121
2022-07-22,10060,121,31,0,90,90
2022-07-23,10060,90,17,0,73,73
2022-07-24,10060,73,22,96,147,51
2022-07-25,10060,147,14,0,133,133
2022-07-26,10060,133,30,0,103,103
2022-07-27,10060,103,17,0,86,86
2022-07-28,10060,86,19,0,67,67
2022-07-29,10060,67,25,96,138,42
2022-07-30,10060,138,22,0,116,116
2022-07-31,10060,116,16,0,100,100
2022-08-01,10060,100,32,0,68,68
2022-08-02,10060,68,24,96,140,44
2022-08-03,10060,140,22,0,118,118
2022-08-04,10060,118,33,0,85,85
2022-08-05,10060,85,40,96,141,45
2022-08-06,10060,141,16,0,125,125
2022-08-07,10060,125,36,0,89,89
2022-08-08,10060,89,35,96,150,54
2022-08-09,10060,150,13,0,137,137
2022-08-10,10060,137,22,0,115,115
2022-08-11,10060,115,37,0,78,78
2022-08-12,10060,78,25,96,149,53
2022-08-13,10060,149,17,0,132,132
2022-08-14,10060,132,22,0,110,110
2022-08-15,10060,110,12,0,98,98
2022-08-16,10060,98,30,0,68,68
2022-08-17,10060,68,18,96,146,50
2022-08-18,10060,146,36,0,110,110
2022-08-19,10060,110,39,0,71,71
2022-08-20,10060,71,9,0,62,62
2022-08-21,10060,62,17,96,141,45
2022-08-22,10060,141,17,0,124,124
2022-08-23,10060,124,26,0,98,98
2022-08-24,10060,98,12,0,86,86
2022-08-25,10060,86,21,0,65,65
2022-08-26,10060,65,32,96,129,33
2022-08-27,10060,129,30,0,99,99
2022-08-28,10060,99,20,0,79,79
2022-08-29,10060,79,13,0,66,66
2022-08-30,10060,66,21,96,141,45
2022-08-31,10060,141,25,0,116,116
2022-09-01,10060,116,10,0,106,106
2022-09-02,10060,106,32,0,74,74
2022-09-03,10060,74,28,96,142,46
2022-09-04,10060,142,33,0,109,109
2022-09-05,10060,109,32,0,77,77
2022-09-06,10060,77,29,96,144,48
2022-09-07,10060,144,15,0,129,129
2022-09-08,10060,129,26,0,103,103
2022-09-09,10060,103,39,0,64,64
2022-09-10,10060,64,27,96,133,37
2022-09-11,10060,133,22,0,111,111
2022-09-12,10060,111,21,0,90,90
2022-09-13,10060,90,16,0,74,74
2022-09-14,10060,74,16,0,58,58
2022-09-15,10060,58,26,96,128,32
2022-09-16,10060,128,19,0,109,109
2022-09-17,10060,109,29,0,80,80
2022-09-18,10060,80,11,0,69,69
2022-09-19,10060,69,13,96,152,56
2022-09-20,10060,152,28,0,124,124
2022-09-21,10060,124,29,0,95,95
2022-09-22,10060,95,14,0,81,81
2022-09-23,10060,81,40,96,137,41
2022-09-24,10060,137,20,0,117,117
2022-09-25,10060,117,30,0,87,87
2022-09-26,10060,87,13,0,74,74
2022-09-27,10060,74,6,0,68,68
2022-09-28,10060,68,11,0,57,57
2022-09-29,10060,57,23,96,130,34
2022-09-30,10060,130,36,0,94,94
2022-10-01,10060,94,18,0,76,76
2022-10-02,10060,76,27,96,145,49
2022-10-03,10060,145,19,0,126,126
2022-10-04,10060,126,22,0,104,104
2022-10-05,10060,104,23,0,81,81
2022-10-06,10060,81,24,0,57,57
2022-10-07,10060,57,26,96,127,31
2022-10-08,10060,127,31,0,96,96
2022-10-09,10060,96,6,0,90,90
2022-10-10,10060,90,20,0,70,70
2022-10-11,10060,70,22,96,144,48
2022-10-12,10060,144,12,0,132,132
2022-10-13,10060,132,19,0,113,113
2022-10-14,10060,113,41,0,72,72
2022-10-15,10060,72,34,96,134,38
2022-10-16,10060,134,14,0,120,120
2022-10-17,10060,120,26,0,94,94
2022-10-18,10060,94,20,0,74,74
2022-10-19,10060,74,19,96,151,55
2022-10-20,10060,151,30,0,121,121
2022-10-21,10060,121,30,0,91,91
2022-10-22,10060,91,18,0,73,73
2022-10-23,10060,73,35,96,134,38
2022-10-24,10060,134,4,0,130,130
2022-10-25,10060,130,15,0,115,115
2022-10-26,10060,115,10,0,105,105
2022-10-27,10060,105,16,0,89,89
2022-10-28,10060,89,28,0,61,61
2022-10-29,10060,61,19,96,138,42
2022-10-30,10060,138,7,0,131,131
2022-10-31,10060,131,11,0,120,120
2022-11-01,10060,120,31,0,89,89
2022-11-02,10060,89,16,0,73,73
2022-11-03,10060,73,29,96,140,44
2022-11-04,10060,140,34,0,106,106
2022-11-05,10060,106,16,0,90,90
2022-11-06,10060,90,23,0,67,67
2022-11-07,10060,67,38,96,125,29
2022-11-08,10060,125,20,0,105,105
2022-11-09,10060,105,29,0,76,76
2022-11-10,10060,76,36,96,136,40
2022-11-11,10060,136,31,0,105,105
2022-11-12,10060,105,29,0,76,76
2022-11-13,10060,76,15,0,61,61
2022-11-14,10060,61,7,96,150,54
2022-11-15,10060,150,13,0,137,137
2022-11-16,10060,137,20,0,117,117
2022-11-17,10060,117,16,0,101,101
2022-11-18,10060,101,34,0,67,67
2022-11-19,10060,67,21,96,142,46
2022-11-20,10060,142,13,0,129,129
2022-11-21,10060,129,16,0,113,113
2022-11-22,10060,113,4,0,109,109
2022-11-23,10060,109,2,0,107,107
2022-11-24,10060,107,12,0,95,95
2022-11-25,10060,95,28,0,67,67
2022-11-26,10060,67,15,96,148,52
2022-11-27,10060,148,13,0,135,135
2022-11-28,10060,135,16,0,119,119
2022-11-29,10060,119,13,0,106,106
2022-11-30,10060,106,17,0,89,89
2022-12-01,10060,89,38,96,147,51
2022-12-02,10060,147,24,0,123,123
2022-12-03,10060,123,16,0,107,107
2022-12-04,10060,107,19,0,88,88
2022-12-05,10060,88,18,0,70,70
2022-12-06,10060,70,31,96,135,39
2022-12-07,10060,135,25,0,110,110
2022-12-08,10060,110,30,0,80,80
2022-12-09,10060,80,33,96,143,47
2022-12-10,10060,143,16,0,127,127
2022-12-11,10060,127,26,0,101,101
2022-12-12,10060,101,21,0,80,80
2022-12-13,10060,80,16,0,64,64
2022-12-14,10060,64,31,96,129,33
2022-12-15,10060,129,15,0,114,114
2022-12-16,10060,114,23,0,91,91
2022-12-17,10060,91,30,0,61,61
2022-12-18,10060,61,22,96,135,39
2022-12-19,10060,135,12,0,123,123
2022-12-20,10060,123,10,0,113,113
2022-12-21,10060,113,24,0,89,89
2022-12-22,10060,89,20,0,69,69
2022-12-23,10060,69,20,96,145,49
2022-12-24,10060,145,11,0,134,134
2022-12-25,10060,134,0,0,134,134
