anomaly_id,date,sku_id,anomaly_type,demand_anomaly_score,shrinkage_score,severity,reason,status
AN00000097,2021-02-02,90130,restocking_delay,0.475,0.0,0.18,Expected restock may not have reached shelf.,closed
AN00000098,2021-02-02,90143,normal,0.477,0.0,0.197,No material exception detected.,closed
AN00000099,2021-02-02,A10026,normal,0.059,0.0,0.024,No material exception detected.,closed
AN00000100,2021-02-02,A30035,normal,0.086,0.004,0.046,No material exception detected.,closed
AN00000101,2021-02-03,10060,normal,0.526,0.0,0.213,No material exception detected.,closed
AN00000102,2021-02-03,10091,normal,0.977,0.0,0.347,No material exception detected.,closed
AN00000103,2021-02-03,10092,normal,0.566,0.004,0.217,No material exception detected.,closed
AN00000104,2021-02-03,10093,normal,0.0,0.0,0.018,No material exception detected.,closed
AN00000105,2021-02-03,10094,normal,0.176,0.0,0.086,No material exception detected.,closed
AN00000106,2021-02-03,10095,normal,0.0,0.0,0.018,No material exception detected.,closed
AN00000107,2021-02-03,10100,demand_spike,1.0,0.0,0.373,Sales exceeded recent baseline.,closed
AN00000108,2021-02-03,35035,normal,0.093,0.0,0.067,No material exception detected.,closed
AN00000109,2021-02-03,35192,normal,0.3,0.014,0.141,No material exception detected.,closed
AN00000110,2021-02-03,45470,normal,0.053,0.0,0.047,No material exception detected.,closed
AN00000111,2021-02-03,45657,normal,0.447,0.0,0.19,No material exception detected.,closed
AN00000112,2021-02-03,45678,normal,0.523,0.005,0.246,No material exception detected.,closed
AN00000113,2021-02-03,46019,normal,0.0,0.0,0.011,No material exception detected.,closed
AN00000114,2021-02-03,55845,normal,0.036,0.0,0.035,No material exception detected.,closed
AN00000115,2021-02-03,65044,cv_error,0.106,0.0,0.061,Low CV confidence may explain stock mismatch.,closed
AN00000116,2021-02-03,70133,normal,0.482,0.0,0.204,No material exception detected.,closed
AN00000117,2021-02-03,90130,normal,0.7,0.01,0.271,No material exception detected.,closed
AN00000118,2021-02-03,90143,cv_error,0.591,0.007,0.304,Low CV confidence may explain stock mismatch.,closed
AN00000119,2021-02-03,A10026,normal,0.706,0.009,0.256,No material exception detected.,closed
AN00000120,2021-02-03,A30035,normal,0.243,0.0,0.151,No material exception detected.,closed
AN00000121,2021-02-04,10060,normal,0.053,0.0,0.036,No material exception detected.,closed
AN00000122,2021-02-04,10091,normal,1.0,0.0,0.376,No material exception detected.,closed
AN00000123,2021-02-04,10092,normal,0.509,0.002,0.209,No material exception detected.,closed
AN00000124,2021-02-04,10093,normal,0.0,0.0,0.006,No material exception detected.,closed
AN00000125,2021-02-04,10094,normal,0.216,0.004,0.098,No material exception detected.,closed
AN00000126,2021-02-04,10095,normal,0.0,0.0,0.024,No material exception detected.,closed
AN00000127,2021-02-04,10100,demand_spike,1.0,0.011,0.387,Sales exceeded recent baseline.,closed
AN00000128,2021-02-04,35035,normal,0.302,0.0,0.136,No material exception detected.,closed
AN00000129,2021-02-04,35192,normal,0.675,0.0,0.25,No material exception detected.,closed
AN00000130,2021-02-04,45470,normal,0.14,0.0,0.068,No material exception detected.,closed
AN00000131,2021-02-04,45657,normal,0.395,0.0,0.165,No material exception detected.,closed
AN00000132,2021-02-04,45678,planogram_mismatch,0.0,0.0,0.011,Detected SKU may not match assigned slot.,closed
AN00000133,2021-02-04,46019,normal,0.0,0.005,0.114,No material exception detected.,closed
AN00000134,2021-02-04,55845,normal,0.25,0.0,0.098,No material exception detected.,closed
AN00000135,2021-02-04,65044,normal,0.234,0.0,0.093,No material exception detected.,closed
AN00000136,2021-02-04,70133,normal,0.768,0.0,0.303,No material exception detected.,closed
AN00000137,2021-02-04,90130,normal,0.525,0.0,0.189,No material exception detected.,closed
AN00000138,2021-02-04,90143,normal,0.909,0.0,0.335,No material exception detected.,closed
AN00000139,2021-02-04,A10026,normal,0.794,0.036,0.324,No material exception detected.,closed
AN00000140,2021-02-04,A30035,normal,0.1,0.004,0.055,No material exception detected.,closed
AN00000141,2021-02-05,10060,normal,0.053,0.0,0.043,No material exception detected.,closed
AN00000142,2021-02-05,10091,normal,0.864,0.0,0.319,No material exception detected.,closed
AN00000143,2021-02-05,10092,normal,0.779,0.003,0.278,No material exception detected.,closed
AN00000144,2021-02-05,10093,normal,0.0,0.0,0.096,No material exception detected.,closed
AN00000145,2021-02-05,10094,normal,0.581,0.004,0.213,No material exception detected.,closed
AN00000146,2021-02-05,10095,normal,0.0,0.0,0.028,No material exception detected.,closed
AN00000147,2021-02-05,10100,normal,1.0,0.0,0.372,No material exception detected.,closed
AN00000148,2021-02-05,35035,normal,0.233,0.007,0.109,No material exception detected.,closed
AN00000149,2021-02-05,35192,normal,1.0,0.0,0.384,No material exception detected.,closed
AN00000150,2021-02-05,45470,normal,0.298,0.0,0.128,No material exception detected.,closed
AN00000151,2021-02-05,45657,normal,0.776,0.0,0.281,No material exception detected.,closed
AN00000152,2021-02-05,45678,normal,1.0,0.0,0.362,No material exception detected.,closed
AN00000153,2021-02-05,46019,normal,0.0,0.0,0.069,No material exception detected.,closed
AN00000154,2021-02-05,55845,normal,0.054,0.0,0.024,No material exception detected.,closed
AN00000155,2021-02-05,65044,planogram_mismatch,0.383,0.0,0.151,Detected SKU may not match assigned slot.,closed
AN00000156,2021-02-05,70133,normal,1.0,0.0,0.367,No material exception detected.,closed
AN00000157,2021-02-05,90130,normal,0.9,0.008,0.417,No material exception detected.,closed
AN00000158,2021-02-05,90143,normal,1.0,0.0,0.354,No material exception detected.,closed
AN00000159,2021-02-05,A10026,normal,0.324,0.014,0.144,No material exception detected.,closed
AN00000160,2021-02-05,A30035,normal,0.3,0.0,0.116,No material exception detected.,closed
AN00000161,2021-02-06,10060,normal,1.0,0.0,0.377,No material exception detected.,closed
AN00000162,2021-02-06,10091,normal,0.705,0.0,0.254,No material exception detected.,closed
AN00000163,2021-02-06,10092,normal,0.842,0.004,0.312,No material exception detected.,closed
AN00000164,2021-02-06,10093,restocking_delay,0.0,0.002,0.004,Expected restock may not have reached shelf.,closed
AN00000165,2021-02-06,10094,cv_error,0.338,0.0,0.146,Low CV confidence may explain stock mismatch.,closed
AN00000166,2021-02-06,10095,normal,0.0,0.0,0.016,No material exception detected.,closed
AN00000167,2021-02-06,10100,normal,1.0,0.0,0.382,No material exception detected.,closed
AN00000168,2021-02-06,35035,normal,0.163,0.0,0.068,No material exception detected.,closed
AN00000169,2021-02-06,35192,normal,0.4,0.0,0.15,No material exception detected.,closed
AN00000170,2021-02-06,45470,normal,0.246,0.0,0.114,No material exception detected.,closed
AN00000171,2021-02-06,45657,normal,0.711,0.0,0.268,No material exception detected.,closed
AN00000172,2021-02-06,45678,normal,1.0,0.0,0.353,No material exception detected.,closed
AN00000173,2021-02-06,46019,normal,0.0,0.0,0.009,No material exception detected.,closed
AN00000174,2021-02-06,55845,normal,0.446,0.0,0.173,No material exception detected.,closed
AN00000175,2021-02-06,65044,normal,0.277,0.007,0.109,No material exception detected.,closed
AN00000176,2021-02-06,70133,normal,0.875,0.0,0.34,No material exception detected.,closed
AN00000177,2021-02-06,90130,normal,0.45,0.0,0.181,No material exception detected.,closed
AN00000178,2021-02-06,90143,normal,1.0,0.031,0.392,No material exception detected.,closed
AN00000179,2021-02-06,A10026,normal,0.5,0.0,0.205,No material exception detected.,closed
AN00000180,2021-02-06,A30035,normal,0.171,0.0,0.084,No material exception detected.,closed
AN00000181,2021-02-07,10060,normal,0.368,0.0,0.136,No material exception detected.,closed
AN00000182,2021-02-07,10091,normal,0.523,0.008,0.221,No material exception detected.,closed
AN00000183,2021-02-07,10092,normal,0.409,0.0,0.154,No material exception detected.,closed
AN00000184,2021-02-07,10093,normal,0.0,0.002,0.017,No material exception detected.,closed
AN00000185,2021-02-07,10094,normal,0.243,0.0,0.095,No material exception detected.,closed
AN00000186,2021-02-07,10095,normal,0.0,0.0,0.015,No material exception detected.,closed
AN00000187,2021-02-07,10100,normal,1.0,0.0,0.378,No material exception detected.,closed
AN00000188,2021-02-07,35035,normal,0.093,0.0,0.056,No material exception detected.,closed
AN00000189,2021-02-07,35192,normal,0.1,0.0,0.039,No material exception detected.,closed
AN00000190,2021-02-07,45470,normal,0.228,0.0,0.099,No material exception detected.,closed
AN00000191,2021-02-07,45657,normal,0.487,0.013,0.242,No material exception detected.,closed
AN00000192,2021-02-07,45678,normal,1.0,0.0,0.379,No material exception detected.,closed
AN00000193,2021-02-07,46019,normal,0.0,0.0,0.007,No material exception detected.,closed
AN00000194,2021-02-07,55845,restocking_delay,0.036,0.0,0.046,Expected restock may not have reached shelf.,closed
AN00000195,2021-02-07,65044,normal,0.106,0.0,0.054,No material exception detected.,closed
AN00000196,2021-02-07,70133,normal,0.357,0.0,0.15,No material exception detected.,closed
AN00000197,2021-02-07,90130,normal,0.45,0.012,0.171,No material exception detected.,closed
AN00000198,2021-02-07,90143,cv_error,0.636,0.0,0.334,Low CV confidence may explain stock mismatch.,closed
AN00000199,2021-02-07,A10026,normal,0.294,0.0,0.127,No material exception detected.,closed
AN00000200,2021-02-07,A30035,normal,0.057,0.0,0.036,No material exception detected.,closed
AN00000201,2021-02-08,10060,normal,0.632,0.0,0.239,No material exception detected.,closed
AN00000202,2021-02-08,10091,normal,0.0,0.0,0.022,No material exception detected.,closed
AN00000203,2021-02-08,10092,normal,0.0,0.002,0.013,No material exception detected.,closed
AN00000204,2021-02-08,10093,normal,0.0,0.0,0.008,No material exception detected.,closed
AN00000205,2021-02-08,10094,normal,0.189,0.0,0.091,No material exception detected.,closed
AN00000206,2021-02-08,10095,normal,0.0,0.004,0.018,No material exception detected.,closed
AN00000207,2021-02-08,10100,normal,1.0,0.0,0.363,No material exception detected.,closed
AN00000208,2021-02-08,35035,normal,0.186,0.008,0.073,No material exception detected.,closed
AN00000209,2021-02-08,35192,normal,0.0,0.0,0.011,No material exception detected.,closed
AN00000210,2021-02-08,45470,normal,0.193,0.007,0.1,No material exception detected.,closed
AN00000211,2021-02-08,45657,normal,0.289,0.0,0.105,No material exception detected.,closed
AN00000212,2021-02-08,45678,normal,1.0,0.0,0.377,No material exception detected.,closed
AN00000213,2021-02-08,46019,normal,0.0,0.005,0.021,No material exception detected.,closed
AN00000214,2021-02-08,55845,normal,0.196,0.0,0.076,No material exception detected.,closed
AN00000215,2021-02-08,65044,normal,0.106,0.0,0.04,No material exception detected.,closed
AN00000216,2021-02-08,70133,normal,0.482,0.0,0.179,No material exception detected.,closed
AN00000217,2021-02-08,90130,normal,0.0,0.0,0.016,No material exception detected.,closed
AN00000218,2021-02-08,90143,normal,0.614,0.007,0.246,No material exception detected.,closed
AN00000219,2021-02-08,A10026,normal,0.206,0.0,0.078,No material exception detected.,closed
AN00000220,2021-02-08,A30035,normal,0.157,0.0,0.074,No material exception detected.,closed
AN00000221,2021-02-09,10060,normal,0.0,0.015,0.104,No material exception detected.,closed
AN00000222,2021-02-09,10091,normal,0.023,0.0,0.028,No material exception detected.,closed
AN00000223,2021-02-09,10092,normal,0.0,0.0,0.012,No material exception detected.,closed
AN00000224,2021-02-09,10093,normal,0.0,0.0,0.008,No material exception detected.,closed
AN00000225,2021-02-09,10094,normal,0.149,0.012,0.097,No material exception detected.,closed
AN00000226,2021-02-09,10095,normal,0.0,0.004,0.025,No material exception detected.,closed
AN00000227,2021-02-09,10100,normal,1.0,0.0,0.378,No material exception detected.,closed
AN00000228,2021-02-09,35035,normal,0.093,0.0,0.038,No material exception detected.,closed
AN00000229,2021-02-09,35192,normal,0.0,0.0,0.018,No material exception detected.,closed
AN00000230,2021-02-09,45470,normal,0.07,0.0,0.044,No material exception detected.,closed
AN00000231,2021-02-09,45657,normal,0.5,0.0,0.19,No material exception detected.,closed
AN00000232,2021-02-09,45678,normal,1.0,0.0,0.382,No material exception detected.,closed
AN00000233,2021-02-09,46019,normal,0.0,0.0,0.019,No material exception detected.,closed
AN00000234,2021-02-09,55845,normal,0.036,0.0,0.044,No material exception detected.,closed
AN00000235,2021-02-09,65044,normal,0.106,0.008,0.05,No material exception detected.,closed
AN00000236,2021-02-09,70133,normal,0.446,0.0,0.164,No material exception detected.,closed
AN00000237,2021-02-09,90130,normal,0.0,0.0,0.003,No material exception detected.,closed
AN00000238,2021-02-09,90143,normal,1.0,0.013,0.37,No material exception detected.,closed
AN00000239,2021-02-09,A10026,normal,0.0,0.0,0.026,No material exception detected.,closed
AN00000240,2021-02-09,A30035,normal,0.071,0.0,0.056,No material exception detected.,closed
AN00000241,2021-02-10,10060,normal,0.658,0.0,0.253,No material exception detected.,closed
AN00000242,2021-02-10,10091,normal,0.341,0.0,0.143,No material exception detected.,closed
AN00000243,2021-02-10,10092,normal,0.0,0.004,0.071,No material exception detected.,closed
AN00000244,2021-02-10,10093,normal,0.0,0.002,0.113,No material exception detected.,closed
AN00000245,2021-02-10,10094,normal,0.162,0.0,0.071,No material exception detected.,closed
AN00000246,2021-02-10,10095,restocking_delay,0.0,0.0,0.029,Expected restock may not have reached shelf.,closed
AN00000247,2021-02-10,10100,normal,0.782,0.0,0.283,No material exception detected.,closed
AN00000248,2021-02-10,35035,normal,0.07,0.0,0.045,No material exception detected.,closed
AN00000249,2021-02-10,35192,normal,0.0,0.0,0.034,No material exception detected.,closed
AN00000250,2021-02-10,45470,normal,0.07,0.0,0.041,No material exception detected.,closed
AN00000251,2021-02-10,45657,normal,0.434,0.007,0.185,No material exception detected.,closed
AN00000252,2021-02-10,45678,normal,1.0,0.0,0.37,No material exception detected.,closed
AN00000253,2021-02-10,46019,normal,0.0,0.0,0.061,No material exception detected.,closed
AN00000254,2021-02-10,55845,normal,0.268,0.0,0.122,No material exception detected.,closed
AN00000255,2021-02-10,65044,normal,0.106,0.0,0.055,No material exception detected.,closed
AN00000256,2021-02-10,70133,normal,0.625,0.008,0.234,No material exception detected.,closed
AN00000257,2021-02-10,90130,normal,0.0,0.0,0.019,No material exception detected.,closed
AN00000258,2021-02-10,90143,normal,0.682,0.007,0.336,No material exception detected.,closed
AN00000259,2021-02-10,A10026,normal,0.0,0.0,0.027,No material exception detected.,closed
AN00000260,2021-02-10,A30035,normal,0.1,0.005,0.053,No material exception detected.,closed
AN00000261,2021-02-11,10060,normal,0.737,0.0,0.265,No material exception detected.,closed
AN00000262,2021-02-11,10091,normal,0.5,0.0,0.186,No material exception detected.,closed
AN00000263,2021-02-11,10092,normal,0.0,0.0,0.009,No material exception detected.,closed
AN00000264,2021-02-11,10093,normal,0.0,0.0,0.03,No material exception detected.,closed
AN00000265,2021-02-11,10094,restocking_delay,0.176,0.0,0.069,Expected restock may not have reached shelf.,closed
AN00000266,2021-02-11,10095,normal,0.0,0.004,0.009,No material exception detected.,closed
AN00000267,2021-02-11,10100,normal,0.0,0.007,0.008,No material exception detected.,closed
AN00000268,2021-02-11,35035,normal,0.047,0.009,0.037,No material exception detected.,closed
AN00000269,2021-02-11,35192,normal,0.0,0.0,0.02,No material exception detected.,closed
AN00000270,2021-02-11,45470,normal,0.439,0.009,0.191,No material exception detected.,closed
AN00000271,2021-02-11,45657,normal,0.5,0.0,0.206,No material exception detected.,closed
AN00000272,2021-02-11,45678,normal,1.0,0.0,0.367,No material exception detected.,closed
AN00000273,2021-02-11,46019,normal,0.0,0.0,0.031,No material exception detected.,closed
AN00000274,2021-02-11,55845,normal,0.143,0.0,0.076,No material exception detected.,closed
AN00000275,2021-02-11,65044,normal,0.319,0.0,0.134,No material exception detected.,closed
AN00000276,2021-02-11,70133,normal,0.804,0.0,0.294,No material exception detected.,closed
AN00000277,2021-02-11,90130,normal,0.0,0.0,0.017,No material exception detected.,closed
AN00000278,2021-02-11,90143,normal,0.568,0.0,0.214,No material exception detected.,closed
AN00000279,2021-02-11,A10026,normal,0.0,0.0,0.019,No material exception detected.,closed
AN00000280,2021-02-11,A30035,normal,0.129,0.006,0.153,No material exception detected.,closed
AN00000281,2021-02-12,10060,normal,0.658,0.0,0.245,No material exception detected.,closed
AN00000282,2021-02-12,10091,normal,0.773,0.0,0.277,No material exception detected.,closed
AN00000283,2021-02-12,10092,normal,0.0,0.0,0.011,No material exception detected.,closed
AN00000284,2021-02-12,10093,normal,0.0,0.002,0.032,No material exception detected.,closed
AN00000285,2021-02-12,10094,normal,0.446,0.0,0.161,No material exception detected.,closed
AN00000286,2021-02-12,10095,normal,0.0,0.0,0.008,No material exception detected.,closed
AN00000287,2021-02-12,10100,normal,0.0,0.0,0.032,No material exception detected.,closed
AN00000288,2021-02-12,35035,normal,0.116,0.009,0.059,No material exception detected.,closed
AN00000289,2021-02-12,35192,normal,0.0,0.0,0.03,No material exception detected.,closed
AN00000290,2021-02-12,45470,normal,0.158,0.0,0.148,No material exception detected.,closed
AN00000291,2021-02-12,45657,normal,0.724,0.004,0.278,No material exception detected.,closed
AN00000292,2021-02-12,45678,normal,1.0,0.0,0.358,No material exception detected.,closed
AN00000293,2021-02-12,46019,restocking_delay,0.0,0.0,0.03,Expected restock may not have reached shelf.,closed
AN00000294,2021-02-12,55845,normal,0.179,0.0,0.075,No material exception detected.,closed
AN00000295,2021-02-12,65044,normal,0.255,0.0,0.103,No material exception detected.,closed
AN00000296,2021-02-12,70133,normal,1.0,0.0,0.378,No material exception detected.,closed
AN00000297,2021-02-12,90130,normal,0.0,0.0,0.023,No material exception detected.,closed
AN00000298,2021-02-12,90143,normal,1.0,0.014,0.388,No material exception detected.,closed
AN00000299,2021-02-12,A10026,normal,0.265,0.0,0.126,No material exception detected.,closed
AN00000300,2021-02-12,A30035,normal,0.1,0.0,0.054,No material exception detected.,closed
AN00000301,2021-02-13,10060,normal,0.395,0.0,0.156,No material exception detected.,closed
AN00000302,2021-02-13,10091,normal,0.705,0.0,0.276,No material exception detected.,closed
AN00000303,2021-02-13,10092,normal,0.0,0.0,0.014,No material exception detected.,closed
AN00000304,2021-02-13,10093,normal,0.0,0.0,0.028,No material exception detected.,closed
AN00000305,2021-02-13,10094,normal,0.419,0.004,0.16,No material exception detected.,closed
AN00000306,2021-02-13,10095,normal,0.0,0.0,0.023,No material exception detected.,closed
AN00000307,2021-02-13,10100,normal,0.0,0.007,0.018,No material exception detected.,closed
AN00000308,2021-02-13,35035,normal,0.07,0.009,0.048,No material exception detected.,closed
AN00000309,2021-02-13,35192,normal,0.0,0.0,0.004,No material exception detected.,closed
AN00000310,2021-02-13,45470,normal,0.123,0.0,0.076,No material exception detected.,closed
AN00000311,2021-02-13,45657,normal,0.763,0.0,0.283,No material exception detected.,closed
AN00000312,2021-02-13,45678,normal,1.0,0.0,0.378,No material exception detected.,closed
AN00000313,2021-02-13,46019,normal,0.0,0.0,0.025,No material exception detected.,closed
AN00000314,2021-02-13,55845,normal,0.464,0.0,0.166,No material exception detected.,closed
AN00000315,2021-02-13,65044,normal,0.511,0.0,0.205,No material exception detected.,closed
AN00000316,2021-02-13,70133,normal,0.839,0.0,0.382,No material exception detected.,closed
AN00000317,2021-02-13,90130,normal,0.0,0.0,0.015,No material exception detected.,closed
AN00000318,2021-02-13,90143,normal,1.0,0.0,0.373,No material exception detected.,closed
AN00000319,2021-02-13,A10026,normal,0.5,0.0,0.194,No material exception detected.,closed
AN00000320,2021-02-13,A30035,normal,0.129,0.0,0.061,No material exception detected.,closed
AN00000321,2021-02-14,10060,normal,0.0,0.0,0.012,No material exception detected.,closed
AN00000322,2021-02-14,10091,normal,0.0,0.0,0.032,No material exception detected.,closed
AN00000323,2021-02-14,10092,normal,0.0,0.0,0.034,No material exception detected.,closed
AN00000324,2021-02-14,10093,normal,0.0,0.0,0.016,No material exception detected.,closed
