validation_id,date,sku_id,semantic_check,stock_audit,constraint_check,final_result,retry_count
VA00000105,2022-12-29,10091,pass,review,pass,review,0
VA00000106,2023-01-28,10091,pass,pass,pass,pass,0
VA00000107,2023-03-02,10091,pass,pass,pass,pass,0
VA00000108,2023-04-25,10091,pass,pass,pass,pass,0
VA00000109,2023-05-19,10091,pass,pass,pass,pass,0
VA00000110,2023-06-10,10091,pass,pass,pass,pass,0
VA00000111,2023-07-02,10091,pass,pass,pass,pass,0
VA00000112,2023-07-19,10091,pass,review,pass,review,0
VA00000113,2023-08-05,10091,pass,pass,pass,pass,0
VA00000114,2023-08-19,10091,pass,pass,pass,pass,0
VA00000115,2023-09-07,10091,pass,pass,pass,pass,0
VA00000116,2023-09-23,10091,pass,pass,pass,pass,0
VA00000117,2023-10-10,10091,pass,review,pass,review,0
VA00000118,2023-10-31,10091,pass,pass,pass,pass,0
VA00000119,2023-11-19,10091,pass,pass,pass,pass,0
VA00000120,2023-12-14,10091,pass,pass,pass,pass,0
VA00000121,2024-01-10,10091,pass,review,fail,block,1
VA00000122,2024-02-09,10091,pass,pass,pass,pass,0
VA00000123,2024-03-08,10091,pass,pass,pass,pass,0
VA00000124,2024-04-19,10091,pass,review,fail,block,0
VA00000125,2024-05-14,10091,pass,pass,pass,pass,0
VA00000126,2024-06-09,10091,pass,review,pass,review,1
VA00000127,2024-07-04,10091,pass,pass,pass,pass,0
VA00000128,2024-08-01,10091,pass,pass,pass,pass,0
VA00000129,2024-08-21,10091,pass,pass,pass,pass,0
VA00000130,2024-09-12,10091,pass,review,fail,block,2
VA00000131,2024-10-11,10091,pass,pass,pass,pass,0
VA00000132,2024-11-09,10091,pass,review,pass,review,0
VA00000133,2024-12-06,10091,pass,pass,pass,pass,0
VA00000134,2025-01-05,10091,pass,pass,pass,pass,0
VA00000135,2025-02-02,10091,pass,review,pass,review,1
VA00000136,2025-02-28,10091,pass,pass,pass,pass,0
VA00000137,2025-04-03,10091,pass,review,fail,block,2
VA00000138,2025-05-03,10091,pass,pass,pass,pass,0
VA00000139,2025-06-07,10091,pass,pass,pass,pass,0
VA00000140,2025-07-15,10091,pass,review,pass,review,0
VA00000141,2025-08-15,10091,pass,pass,pass,pass,0
VA00000142,2025-09-13,10091,pass,pass,pass,pass,0
VA00000143,2025-10-10,10091,pass,pass,pass,pass,0
VA00000144,2025-11-10,10091,pass,review,fail,block,2
VA00000145,2025-12-15,10091,pass,review,fail,block,1
VA00000146,2026-01-22,10091,pass,review,pass,review,1
VA00000147,2026-02-26,10091,pass,review,fail,block,2
VA00000148,2026-03-31,10091,pass,pass,pass,pass,0
VA00000149,2026-04-27,10091,pass,review,pass,review,0
VA00000150,2026-05-22,10091,pass,pass,pass,pass,0
VA00000151,2021-10-01,10092,pass,review,pass,review,1
VA00000152,2021-10-16,10092,pass,pass,pass,pass,0
VA00000153,2021-10-27,10092,pass,review,fail,block,2
VA00000154,2021-11-07,10092,pass,pass,pass,pass,0
VA00000155,2021-11-19,10092,pass,pass,pass,pass,0
VA00000156,2021-12-01,10092,pass,pass,pass,pass,0
VA00000157,2021-12-16,10092,pass,pass,pass,pass,0
VA00000158,2021-12-28,10092,pass,pass,pass,pass,0
VA00000159,2022-01-13,10092,pass,pass,pass,pass,0
VA00000160,2022-01-30,10092,pass,pass,pass,pass,0
VA00000161,2022-02-18,10092,pass,pass,pass,pass,0
VA00000162,2022-03-10,10092,pass,pass,pass,pass,0
VA00000163,2022-04-06,10092,pass,pass,pass,pass,0
VA00000164,2022-04-28,10092,pass,review,pass,review,2
VA00000165,2022-05-20,10092,pass,review,fail,block,2
VA00000166,2022-06-11,10092,pass,review,pass,review,1
VA00000167,2022-07-04,10092,pass,pass,pass,pass,0
VA00000168,2022-07-22,10092,pass,review,pass,review,2
VA00000169,2022-08-09,10092,pass,pass,pass,pass,0
VA00000170,2022-08-23,10092,pass,pass,pass,pass,0
VA00000171,2022-09-06,10092,pass,pass,pass,pass,0
VA00000172,2022-09-23,10092,pass,review,pass,review,0
VA00000173,2022-10-12,10092,pass,pass,pass,pass,0
VA00000174,2022-11-01,10092,pass,pass,pass,pass,0
VA00000175,2022-11-16,10092,pass,review,pass,review,2
VA00000176,2022-11-30,10092,pass,pass,pass,pass,0
VA00000177,2022-12-14,10092,pass,review,fail,block,2
VA00000178,2022-12-24,10092,pass,review,pass,review,1
VA00000179,2023-01-12,10092,pass,pass,pass,pass,0
VA00000180,2023-02-08,10092,pass,pass,pass,pass,0
VA00000181,2023-03-02,10092,pass,pass,pass,pass,0
VA00000182,2023-03-24,10092,pass,pass,pass,pass,0
VA00000183,2023-04-08,10092,pass,review,fail,block,0
VA00000184,2023-05-01,10092,pass,pass,pass,pass,0
VA00000185,2023-05-20,10092,pass,review,fail,block,2
VA00000186,2023-06-10,10092,pass,pass,pass,pass,0
VA00000187,2023-06-30,10092,pass,review,fail,block,1
VA00000188,2023-07-18,10092,pass,pass,pass,pass,0
VA00000189,2023-08-05,10092,pass,pass,pass,pass,0
VA00000190,2023-08-23,10092,pass,pass,pass,pass,0
VA00000191,2023-09-01,10092,pass,review,fail,block,0
VA00000192,2023-09-08,10092,pass,pass,pass,pass,0
VA00000193,2023-09-17,10092,pass,pass,pass,pass,0
VA00000194,2023-09-26,10092,pass,pass,pass,pass,0
VA00000195,2023-10-05,10092,pass,pass,pass,pass,0
VA00000196,2023-10-25,10092,pass,review,fail,block,2
VA00000197,2023-12-02,10092,pass,review,fail,block,1
VA00000198,2023-12-31,10092,pass,review,fail,block,0
VA00000199,2024-01-22,10092,pass,pass,pass,pass,0
VA00000200,2024-03-16,10092,pass,pass,pass,pass,0
VA00000201,2024-04-12,10092,pass,review,pass,review,0
VA00000202,2024-05-04,10092,pass,review,pass,review,2
VA00000203,2024-06-24,10092,pass,review,fail,block,2
VA00000204,2024-07-14,10092,pass,pass,pass,pass,0
VA00000205,2024-08-06,10092,pass,pass,pass,pass,0
VA00000206,2024-08-29,10092,pass,review,fail,block,2
VA00000207,2024-09-19,10092,pass,pass,pass,pass,0
VA00000208,2024-10-06,10092,pass,pass,pass,pass,0
VA00000209,2024-10-25,10092,pass,pass,pass,pass,0
VA00000210,2024-11-14,10092,pass,review,pass,review,1
VA00000211,2025-01-06,10092,pass,pass,pass,pass,0
VA00000212,2025-01-29,10092,pass,pass,pass,pass,0
VA00000213,2025-03-15,10092,pass,pass,pass,pass,0
VA00000214,2025-04-11,10092,pass,pass,pass,pass,0
VA00000215,2025-05-06,10092,pass,pass,pass,pass,0
VA00000216,2025-06-28,10092,pass,pass,pass,pass,0
VA00000217,2025-07-21,10092,pass,pass,pass,pass,0
VA00000218,2025-08-18,10092,pass,pass,pass,pass,0
VA00000219,2025-09-14,10092,pass,pass,pass,pass,0
VA00000220,2025-10-12,10092,pass,review,pass,review,1
VA00000221,2025-11-11,10092,pass,pass,pass,pass,0
VA00000222,2026-01-09,10092,pass,pass,pass,pass,0
VA00000223,2026-02-14,10092,pass,review,pass,review,2
VA00000224,2026-03-18,10092,pass,review,fail,block,1
VA00000225,2026-04-18,10092,pass,pass,pass,pass,0
VA00000226,2026-05-17,10092,pass,pass,pass,pass,0
VA00000227,2022-02-22,10093,pass,review,pass,review,1
VA00000228,2022-03-09,10093,pass,pass,pass,pass,0
VA00000229,2022-03-25,10093,pass,review,fail,block,2
VA00000230,2022-04-09,10093,pass,review,fail,block,0
VA00000231,2022-04-23,10093,pass,pass,pass,pass,0
VA00000232,2022-05-06,10093,pass,review,pass,review,1
VA00000233,2022-05-18,10093,pass,review,pass,review,2
VA00000234,2022-06-08,10093,pass,pass,pass,pass,0
VA00000235,2022-06-19,10093,pass,pass,pass,pass,0
VA00000236,2022-07-04,10093,pass,review,pass,review,1
VA00000237,2022-07-15,10093,pass,review,fail,block,0
VA00000238,2022-07-27,10093,pass,pass,pass,pass,0
VA00000239,2022-08-08,10093,pass,review,fail,block,1
VA00000240,2022-08-18,10093,pass,review,pass,review,1
VA00000241,2022-08-29,10093,pass,pass,pass,pass,0
VA00000242,2022-09-07,10093,pass,review,fail,block,0
VA00000243,2022-09-20,10093,pass,review,pass,review,2
VA00000244,2022-10-03,10093,pass,pass,pass,pass,0
VA00000245,2023-02-10,10093,pass,review,fail,block,1
VA00000246,2023-02-25,10093,pass,review,pass,review,2
VA00000247,2023-03-13,10093,pass,pass,pass,pass,0
VA00000248,2023-03-26,10093,pass,pass,pass,pass,0
VA00000249,2023-04-13,10093,pass,pass,pass,pass,0
VA00000250,2023-04-28,10093,pass,review,fail,block,0
VA00000251,2023-05-11,10093,pass,pass,pass,pass,0
VA00000252,2023-05-24,10093,pass,pass,pass,pass,0
VA00000253,2023-06-07,10093,pass,pass,pass,pass,0
VA00000254,2023-06-23,10093,pass,pass,pass,pass,0
VA00000255,2023-07-03,10093,pass,pass,pass,pass,0
VA00000256,2023-07-18,10093,pass,pass,pass,pass,0
VA00000257,2023-08-07,10093,pass,review,fail,block,2
VA00000258,2023-08-21,10093,pass,pass,pass,pass,0
VA00000259,2023-09-02,10093,pass,review,pass,review,2
VA00000260,2023-10-03,10093,pass,review,pass,review,2
VA00000261,2023-12-07,10093,pass,pass,pass,pass,0
VA00000262,2024-01-05,10093,pass,review,fail,block,1
VA00000263,2024-02-02,10093,pass,review,pass,review,0
VA00000264,2024-03-21,10093,pass,pass,pass,pass,0
VA00000265,2024-05-08,10093,pass,pass,pass,pass,0
VA00000266,2024-07-06,10093,pass,review,pass,review,1
VA00000267,2024-07-25,10093,pass,pass,pass,pass,0
VA00000268,2024-08-12,10093,pass,review,fail,block,0
VA00000269,2024-08-30,10093,pass,review,pass,review,2
VA00000270,2024-09-17,10093,pass,pass,pass,pass,0
VA00000271,2024-10-06,10093,pass,pass,pass,pass,0
VA00000272,2024-10-25,10093,pass,pass,pass,pass,0
VA00000273,2024-12-10,10093,pass,pass,pass,pass,0
VA00000274,2025-01-03,10093,pass,pass,pass,pass,0
VA00000275,2025-01-22,10093,pass,pass,pass,pass,0
VA00000276,2025-02-09,10093,pass,review,fail,block,1
VA00000277,2025-02-28,10093,pass,review,fail,block,0
VA00000278,2025-03-28,10093,pass,review,fail,block,0
VA00000279,2025-04-29,10093,pass,pass,pass,pass,0
VA00000280,2025-05-16,10093,pass,review,pass,review,1
VA00000281,2025-06-02,10093,pass,pass,pass,pass,0
VA00000282,2025-06-18,10093,pass,pass,pass,pass,0
VA00000283,2025-07-03,10093,pass,pass,pass,pass,0
VA00000284,2025-07-23,10093,pass,pass,pass,pass,0
VA00000285,2025-08-07,10093,pass,pass,pass,pass,0
VA00000286,2025-08-22,10093,pass,review,fail,block,0
VA00000287,2025-09-05,10093,pass,pass,pass,pass,0
VA00000288,2025-09-20,10093,pass,review,pass,review,0
VA00000289,2025-10-07,10093,pass,review,pass,review,1
VA00000290,2025-11-04,10093,pass,review,fail,block,2
VA00000291,2025-12-24,10093,pass,review,pass,review,2
VA00000292,2026-01-15,10093,pass,review,fail,block,1
VA00000293,2026-02-09,10093,pass,review,fail,block,0
VA00000294,2026-03-13,10093,pass,review,pass,review,2
VA00000295,2026-04-02,10093,pass,review,fail,block,0
VA00000296,2026-04-26,10093,pass,review,fail,block,0
VA00000297,2026-05-17,10093,pass,review,pass,review,1
VA00000298,2021-03-20,10094,pass,pass,pass,pass,0
VA00000299,2021-04-30,10094,pass,review,fail,block,2
VA00000300,2021-06-06,10094,pass,pass,pass,pass,0
VA00000301,2021-07-02,10094,pass,pass,pass,pass,0
VA00000302,2021-07-26,10094,pass,review,fail,block,1
VA00000303,2021-08-21,10094,pass,pass,pass,pass,0
VA00000304,2021-09-22,10094,pass,pass,pass,pass,0
VA00000305,2021-10-24,10094,pass,pass,pass,pass,0
VA00000306,2021-11-25,10094,pass,review,fail,block,1
VA00000307,2021-12-23,10094,pass,pass,pass,pass,0
VA00000308,2022-02-07,10094,pass,pass,pass,pass,0
VA00000309,2022-03-17,10094,pass,pass,pass,pass,0
VA00000310,2022-04-16,10094,pass,review,fail,block,1
VA00000311,2022-05-09,10094,pass,review,fail,block,2
VA00000312,2022-06-02,10094,pass,pass,pass,pass,0
VA00000313,2022-06-26,10094,pass,pass,pass,pass,0
VA00000314,2022-07-19,10094,pass,pass,pass,pass,0
VA00000315,2022-08-11,10094,pass,pass,pass,pass,0
VA00000316,2022-08-28,10094,pass,review,fail,block,0
VA00000317,2022-09-19,10094,pass,pass,pass,pass,0
VA00000318,2022-10-12,10094,pass,review,fail,block,0
VA00000319,2022-11-04,10094,pass,pass,pass,pass,0
VA00000320,2022-11-30,10094,pass,review,pass,review,0
VA00000321,2022-12-23,10094,pass,pass,pass,pass,0
VA00000322,2023-01-25,10094,pass,review,pass,review,2
VA00000323,2023-02-24,10094,pass,pass,pass,pass,0
VA00000324,2023-03-26,10094,pass,review,pass,review,2
VA00000325,2023-04-23,10094,pass,pass,pass,pass,0
VA00000326,2023-05-19,10094,pass,pass,pass,pass,0
VA00000327,2023-06-13,10094,pass,pass,pass,pass,0
VA00000328,2023-06-30,10094,pass,pass,pass,pass,0
VA00000329,2023-07-15,10094,pass,pass,pass,pass,0
VA00000330,2023-08-02,10094,pass,pass,pass,pass,0
VA00000331,2023-08-17,10094,pass,review,pass,review,2
VA00000332,2023-08-31,10094,pass,pass,pass,pass,0
VA00000333,2023-09-16,10094,pass,pass,pass,pass,0
VA00000334,2023-10-09,10094,pass,pass,pass,pass,0
VA00000335,2023-11-01,10094,pass,pass,pass,pass,0
VA00000336,2023-11-24,10094,pass,review,fail,block,1
VA00000337,2023-12-18,10094,pass,pass,pass,pass,0
VA00000338,2024-01-11,10094,pass,pass,pass,pass,0
VA00000339,2024-02-12,10094,pass,pass,pass,pass,0
VA00000340,2024-03-14,10094,pass,pass,pass,pass,0
VA00000341,2024-04-09,10094,pass,review,pass,review,0
VA00000342,2024-05-04,10094,pass,pass,pass,pass,0
VA00000343,2024-05-29,10094,pass,pass,pass,pass,0
VA00000344,2024-06-20,10094,pass,pass,pass,pass,0
VA00000345,2024-07-12,10094,pass,pass,pass,pass,0
VA00000346,2024-07-31,10094,pass,pass,pass,pass,0
VA00000347,2024-08-16,10094,pass,pass,pass,pass,0
VA00000348,2024-09-02,10094,pass,review,pass,review,2
VA00000349,2024-09-22,10094,pass,pass,pass,pass,0
VA00000350,2024-10-11,10094,pass,pass,pass,pass,0
VA00000351,2024-11-03,10094,pass,pass,pass,pass,0
VA00000352,2024-11-26,10094,pass,pass,pass,pass,0
VA00000353,2024-12-19,10094,pass,pass,pass,pass,0
VA00000354,2025-01-14,10094,pass,pass,pass,pass,0
VA00000355,2025-02-12,10094,pass,review,pass,review,0
VA00000356,2025-03-09,10094,pass,review,fail,block,1
VA00000357,2025-04-02,10094,pass,review,pass,review,0
VA00000358,2025-04-26,10094,pass,review,pass,review,0
VA00000359,2025-05-22,10094,pass,pass,pass,pass,0
VA00000360,2025-06-14,10094,pass,pass,pass,pass,0
VA00000361,2025-07-05,10094,pass,review,pass,review,0
VA00000362,2025-07-26,10094,pass,review,fail,block,0
VA00000363,2025-08-15,10094,pass,pass,pass,pass,0
VA00000364,2025-09-06,10094,pass,pass,pass,pass,0
VA00000365,2025-09-27,10094,pass,review,fail,block,2
VA00000366,2025-10-25,10094,pass,review,fail,block,1
VA00000367,2025-11-25,10094,pass,pass,pass,pass,0
VA00000368,2025-12-21,10094,pass,pass,pass,pass,0
VA00000369,2026-01-26,10094,pass,pass,pass,pass,0
VA00000370,2026-02-25,10094,pass,review,fail,block,0
VA00000371,2026-03-26,10094,pass,pass,pass,pass,0
VA00000372,2026-04-22,10094,pass,pass,pass,pass,0
VA00000373,2026-05-17,10094,pass,pass,pass,pass,0
VA00000374,2023-08-18,10095,pass,pass,pass,pass,0
VA00000375,2023-08-29,10095,pass,review,fail,block,1
VA00000376,2023-09-08,10095,pass,pass,pass,pass,0
VA00000377,2023-09-21,10095,pass,pass,pass,pass,0
VA00000378,2023-10-06,10095,pass,pass,pass,pass,0
VA00000379,2023-10-19,10095,pass,review,pass,review,0
VA00000380,2023-11-02,10095,pass,review,fail,block,0
VA00000381,2023-11-09,10095,pass,pass,pass,pass,0
VA00000382,2023-11-18,10095,pass,review,fail,block,0
VA00000383,2023-11-29,10095,pass,review,fail,block,2
VA00000384,2023-12-06,10095,pass,pass,pass,pass,0
VA00000385,2023-12-12,10095,pass,pass,pass,pass,0
VA00000386,2023-12-19,10095,pass,pass,pass,pass,0
VA00000387,2023-12-29,10095,pass,review,fail,block,1
VA00000388,2024-01-12,10095,pass,pass,pass,pass,0
VA00000389,2024-01-26,10095,pass,pass,pass,pass,0
VA00000390,2024-02-07,10095,pass,review,fail,block,1
VA00000391,2024-02-19,10095,pass,pass,pass,pass,0
VA00000392,2024-03-12,10095,pass,review,pass,review,1
VA00000393,2024-03-30,10095,pass,pass,pass,pass,0
VA00000394,2024-04-15,10095,pass,review,fail,block,2
VA00000395,2024-04-29,10095,pass,pass,pass,pass,0
VA00000396,2024-05-14,10095,pass,pass,pass,pass,0
VA00000397,2024-06-03,10095,pass,review,pass,review,0
VA00000398,2024-06-15,10095,pass,pass,pass,pass,0
VA00000399,2024-06-30,10095,pass,pass,pass,pass,0
VA00000400,2024-07-14,10095,pass,review,fail,block,1
VA00000401,2024-07-26,10095,pass,review,fail,block,1
VA00000402,2024-08-07,10095,pass,pass,pass,pass,0
VA00000403,2024-08-15,10095,pass,pass,pass,pass,0
VA00000404,2024-08-31,10095,pass,pass,pass,pass,0
VA00000405,2024-09-13,10095,pass,pass,pass,pass,0
VA00000406,2024-10-03,10095,pass,review,fail,block,2
VA00000407,2024-10-20,10095,pass,pass,pass,pass,0
VA00000408,2024-11-08,10095,pass,pass,pass,pass,0
VA00000409,2024-11-20,10095,pass,review,fail,block,1
VA00000410,2024-11-30,10095,pass,pass,pass,pass,0
VA00000411,2024-12-22,10095,pass,pass,pass,pass,0
VA00000412,2024-12-29,10095,pass,pass,pass,pass,0
VA00000413,2025-01-05,10095,pass,pass,pass,pass,0
VA00000414,2025-01-12,10095,pass,review,fail,block,2
VA00000415,2025-01-21,10095,pass,review,fail,block,2
VA00000416,2025-01-30,10095,pass,pass,pass,pass,0
VA00000417,2025-02-06,10095,pass,pass,pass,pass,0
VA00000418,2025-02-15,10095,pass,pass,pass,pass,0
VA00000419,2025-02-26,10095,pass,pass,pass,pass,0
VA00000420,2025-03-08,10095,pass,review,pass,review,0
VA00000421,2025-03-29,10095,pass,review,pass,review,1
VA00000422,2025-04-16,10095,pass,pass,pass,pass,0
VA00000423,2025-05-03,10095,pass,review,fail,block,1
VA00000424,2025-05-15,10095,pass,pass,pass,pass,0
VA00000425,2025-05-26,10095,pass,pass,pass,pass,0
VA00000426,2025-06-07,10095,pass,pass,pass,pass,0
VA00000427,2025-06-16,10095,pass,pass,pass,pass,0
VA00000428,2025-06-28,10095,pass,review,pass,review,0
VA00000429,2025-07-08,10095,pass,pass,pass,pass,0
VA00000430,2025-07-22,10095,pass,review,fail,block,1
VA00000431,2025-08-07,10095,pass,review,fail,block,1
VA00000432,2025-08-20,10095,pass,pass,pass,pass,0
VA00000433,2025-09-06,10095,pass,pass,pass,pass,0
VA00000434,2025-09-22,10095,pass,pass,pass,pass,0
VA00000435,2025-10-10,10095,pass,review,fail,block,2
VA00000436,2025-10-28,10095,pass,pass,pass,pass,0
VA00000437,2025-11-24,10095,pass,review,pass,review,0
VA00000438,2025-12-23,10095,pass,review,fail,block,0
VA00000439,2026-01-06,10095,pass,pass,pass,pass,0
VA00000440,2026-01-24,10095,pass,pass,pass,pass,0
VA00000441,2026-02-06,10095,pass,pass,pass,pass,0
VA00000442,2026-02-21,10095,pass,pass,pass,pass,0
VA00000443,2026-03-15,10095,pass,pass,pass,pass,0
VA00000444,2026-04-02,10095,pass,pass,pass,pass,0
VA00000445,2026-04-18,10095,pass,pass,pass,pass,0
VA00000446,2026-05-06,10095,pass,pass,pass,pass,0
VA00000447,2021-01-30,10100,pass,pass,pass,pass,0
VA00000448,2021-02-04,10100,pass,pass,pass,pass,0
VA00000449,2021-02-09,10100,pass,review,fail,block,2
VA00000450,2021-09-30,10100,pass,review,fail,block,1
VA00000451,2021-10-10,10100,pass,pass,pass,pass,0
VA00000452,2021-10-25,10100,pass,pass,pass,pass,0
VA00000453,2021-11-08,10100,pass,pass,pass,pass,0
VA00000454,2021-11-20,10100,pass,pass,pass,pass,0
VA00000455,2021-12-03,10100,pass,pass,pass,pass,0
VA00000456,2021-12-19,10100,pass,pass,pass,pass,0
VA00000457,2021-12-31,10100,pass,review,pass,review,2
VA00000458,2022-01-15,10100,pass,review,fail,block,1
VA00000459,2022-02-01,10100,pass,review,fail,block,2
VA00000460,2022-02-16,10100,pass,pass,pass,pass,0
VA00000461,2022-03-08,10100,pass,review,fail,block,2
VA00000462,2022-03-25,10100,pass,review,pass,review,2
VA00000463,2022-04-09,10100,pass,pass,pass,pass,0
VA00000464,2022-05-03,10100,pass,pass,pass,pass,0
VA00000465,2022-05-19,10100,pass,review,pass,review,2
VA00000466,2022-06-03,10100,pass,pass,pass,pass,0
VA00000467,2022-06-18,10100,pass,review,pass,review,2
VA00000468,2022-07-01,10100,pass,pass,pass,pass,0
VA00000469,2022-07-21,10100,pass,pass,pass,pass,0
VA00000470,2022-08-14,10100,pass,pass,pass,pass,0
VA00000471,2022-09-02,10100,pass,pass,pass,pass,0
VA00000472,2022-09-27,10100,pass,pass,pass,pass,0
VA00000473,2022-10-19,10100,pass,pass,pass,pass,0
VA00000474,2022-11-09,10100,pass,pass,pass,pass,0
VA00000475,2022-11-28,10100,pass,review,pass,review,2
VA00000476,2022-12-21,10100,pass,review,pass,review,1
