decision_id,date,sku_id,trigger_source,severity,final_decision,retry_count,token_cost
DC00000038,2021-10-25,70133,planogram_mismatch,0.19,automatic_order_allowed,1,0.0729
DC00000039,2021-11-01,10091,planogram_mismatch,0.028,automatic_order_allowed,2,0.0745
DC00000040,2021-11-06,65044,cv_error,0.112,automatic_order_allowed,1,0.01
DC00000041,2021-11-13,10092,demand_spike,0.358,automatic_order_allowed,1,0.0709
DC00000042,2021-11-17,A10026,planogram_mismatch,0.134,automatic_order_allowed,1,0.0472
DC00000043,2021-11-25,10091,planogram_mismatch,0.145,automatic_order_allowed,2,0.0682
DC00000044,2021-12-03,65044,cv_error,0.064,automatic_order_allowed,0,0.0441
DC00000045,2021-12-09,10091,restocking_delay,0.313,automatic_order_allowed,0,0.0768
DC00000046,2021-12-14,46019,planogram_mismatch,0.016,automatic_order_allowed,0,0.0482
DC00000047,2021-12-21,10095,restocking_delay,0.072,automatic_order_allowed,1,0.0236
DC00000048,2021-12-28,10091,restocking_delay,0.15,automatic_order_allowed,0,0.0649
DC00000049,2021-12-30,90143,restocking_delay,0.19,automatic_order_allowed,0,0.0566
DC00000050,2022-01-07,10060,restocking_delay,0.39,automatic_order_allowed,2,0.0507
DC00000051,2022-01-13,65044,restocking_delay,0.079,automatic_order_allowed,0,0.0197
DC00000052,2022-01-19,10092,planogram_mismatch,0.145,automatic_order_allowed,2,0.0203
DC00000053,2022-01-22,45678,restocking_delay,0.235,automatic_order_allowed,2,0.0112
DC00000054,2022-01-30,45678,planogram_mismatch,0.134,automatic_order_allowed,2,0.0154
DC00000055,2022-02-04,A30035,cv_error,0.258,automatic_order_allowed,2,0.0458
DC00000056,2022-02-14,55845,restocking_delay,0.182,automatic_order_allowed,1,0.0314
DC00000057,2022-02-23,90143,restocking_delay,0.246,automatic_order_allowed,0,0.0762
DC00000058,2022-03-01,10091,planogram_mismatch,0.195,automatic_order_allowed,1,0.0649
DC00000059,2022-03-10,45678,cv_error,0.262,automatic_order_allowed,2,0.04
DC00000060,2022-03-16,45678,restocking_delay,0.145,automatic_order_allowed,1,0.0594
DC00000061,2022-03-22,70133,cv_error,0.121,automatic_order_allowed,1,0.0473
DC00000062,2022-03-29,55845,cv_error,0.093,automatic_order_allowed,1,0.0277
DC00000063,2022-04-04,A10026,planogram_mismatch,0.123,automatic_order_allowed,2,0.0756
DC00000064,2022-04-14,65044,demand_spike,0.364,automatic_order_allowed,2,0.061
DC00000065,2022-04-19,10060,planogram_mismatch,0.07,automatic_order_allowed,2,0.0309
DC00000066,2022-04-23,65044,cv_error,0.227,automatic_order_allowed,1,0.0477
DC00000067,2022-04-29,A30035,planogram_mismatch,0.205,automatic_order_allowed,1,0.0341
DC00000068,2022-05-06,45678,planogram_mismatch,0.329,automatic_order_allowed,0,0.0205
DC00000069,2022-05-11,70133,restocking_delay,0.291,automatic_order_allowed,0,0.0465
DC00000070,2022-05-22,90143,planogram_mismatch,0.176,automatic_order_allowed,2,0.0777
DC00000071,2022-05-28,10091,restocking_delay,0.102,automatic_order_allowed,1,0.054
DC00000072,2022-06-04,10100,planogram_mismatch,0.109,automatic_order_allowed,2,0.0115
DC00000073,2022-06-14,45678,cv_error,0.029,automatic_order_allowed,2,0.0247
DC00000074,2022-06-21,46019,cv_error,0.183,automatic_order_allowed,1,0.0405
DC00000075,2022-06-28,70133,cv_error,0.329,automatic_order_allowed,0,0.0725
DC00000076,2022-07-04,45657,cv_error,0.262,automatic_order_allowed,0,0.0562
DC00000077,2022-07-10,A30035,demand_spike,0.377,automatic_order_allowed,2,0.0462
DC00000078,2022-07-18,65044,restocking_delay,0.065,automatic_order_allowed,1,0.0164
DC00000079,2022-07-25,46019,planogram_mismatch,0.067,automatic_order_allowed,0,0.0387
DC00000080,2022-07-31,A30035,cv_error,0.324,automatic_order_allowed,0,0.06
DC00000081,2022-08-03,10060,cv_error,0.236,automatic_order_allowed,2,0.0393
DC00000082,2022-08-10,45470,demand_spike,0.369,automatic_order_allowed,2,0.0183
DC00000083,2022-08-16,35192,planogram_mismatch,0.246,automatic_order_allowed,0,0.0741
DC00000084,2022-08-21,A10026,planogram_mismatch,0.271,automatic_order_allowed,0,0.0317
DC00000085,2022-08-26,45657,demand_spike,0.422,automatic_order_allowed,2,0.0656
DC00000086,2022-08-30,A30035,restocking_delay,0.234,automatic_order_allowed,0,0.0358
DC00000087,2022-09-04,35192,planogram_mismatch,0.306,automatic_order_allowed,2,0.0783
DC00000088,2022-09-10,10092,restocking_delay,0.173,automatic_order_allowed,2,0.0203
DC00000089,2022-09-16,46019,demand_spike,0.374,automatic_order_allowed,0,0.0159
DC00000090,2022-09-23,10094,demand_spike,0.331,automatic_order_allowed,1,0.0389
DC00000091,2022-09-27,10095,cv_error,0.027,automatic_order_allowed,0,0.0274
DC00000092,2022-10-06,70133,cv_error,0.221,automatic_order_allowed,0,0.063
DC00000093,2022-10-14,45657,demand_spike,0.375,automatic_order_allowed,2,0.0745
DC00000094,2022-10-21,55845,cv_error,0.243,automatic_order_allowed,1,0.0246
DC00000095,2022-10-29,35192,planogram_mismatch,0.306,automatic_order_allowed,1,0.0724
DC00000096,2022-11-03,35035,cv_error,0.341,automatic_order_allowed,0,0.0453
DC00000097,2022-11-09,90130,demand_spike,0.327,automatic_order_allowed,2,0.0375
DC00000098,2022-11-13,45678,planogram_mismatch,0.133,automatic_order_allowed,0,0.0188
DC00000099,2022-11-24,90130,demand_spike,0.369,automatic_order_allowed,1,0.0545
DC00000100,2022-12-02,90143,cv_error,0.144,automatic_order_allowed,1,0.0369
DC00000101,2022-12-06,10091,planogram_mismatch,0.179,automatic_order_allowed,0,0.0408
DC00000102,2022-12-17,10095,restocking_delay,0.01,automatic_order_allowed,2,0.0146
DC00000103,2022-12-25,10093,restocking_delay,0.023,automatic_order_allowed,1,0.0119
DC00000104,2023-01-01,90143,planogram_mismatch,0.058,automatic_order_allowed,1,0.0155
DC00000105,2023-01-07,10093,cv_error,0.113,automatic_order_allowed,1,0.0163
DC00000106,2023-01-13,45657,restocking_delay,0.319,automatic_order_allowed,0,0.06
DC00000107,2023-01-20,A30035,restocking_delay,0.151,automatic_order_allowed,1,0.0332
DC00000108,2023-01-28,10094,planogram_mismatch,0.119,automatic_order_allowed,1,0.0537
DC00000109,2023-02-06,10093,restocking_delay,0.203,automatic_order_allowed,2,0.0186
DC00000110,2023-02-13,35035,planogram_mismatch,0.297,automatic_order_allowed,2,0.0512
DC00000111,2023-02-19,55845,cv_error,0.06,automatic_order_allowed,1,0.0245
DC00000112,2023-03-01,45470,planogram_mismatch,0.125,automatic_order_allowed,2,0.0793
DC00000113,2023-03-06,35035,cv_error,0.114,automatic_order_allowed,2,0.0388
DC00000114,2023-03-12,70133,restocking_delay,0.168,automatic_order_allowed,1,0.0726
DC00000115,2023-03-22,10095,cv_error,0.02,automatic_order_allowed,2,0.033
DC00000116,2023-03-26,45678,restocking_delay,0.01,automatic_order_allowed,1,0.0124
DC00000117,2023-03-31,35192,restocking_delay,0.31,automatic_order_allowed,2,0.0611
DC00000118,2023-04-04,45470,planogram_mismatch,0.054,automatic_order_allowed,2,0.0519
DC00000119,2023-04-15,35035,restocking_delay,0.185,automatic_order_allowed,2,0.0173
DC00000120,2023-04-18,45470,planogram_mismatch,0.039,automatic_order_allowed,2,0.0438
DC00000121,2023-04-24,10100,restocking_delay,0.13,automatic_order_allowed,0,0.0771
DC00000122,2023-05-03,10094,planogram_mismatch,0.245,automatic_order_allowed,2,0.0489
DC00000123,2023-05-11,35192,demand_spike,0.348,automatic_order_allowed,1,0.0554
DC00000124,2023-05-16,45657,restocking_delay,0.163,automatic_order_allowed,0,0.0479
DC00000125,2023-05-23,70133,cv_error,0.148,automatic_order_allowed,0,0.0779
DC00000126,2023-05-31,10060,restocking_delay,0.156,automatic_order_allowed,0,0.061
DC00000127,2023-06-07,10060,restocking_delay,0.198,automatic_order_allowed,2,0.0766
DC00000128,2023-06-10,65044,planogram_mismatch,0.142,automatic_order_allowed,2,0.013
DC00000129,2023-06-17,10094,planogram_mismatch,0.166,automatic_order_allowed,2,0.0632
DC00000130,2023-06-21,45678,cv_error,0.021,automatic_order_allowed,2,0.0283
DC00000131,2023-06-27,65044,cv_error,0.259,automatic_order_allowed,1,0.0689
DC00000132,2023-07-06,70133,cv_error,0.269,automatic_order_allowed,0,0.0151
DC00000133,2023-07-12,35192,cv_error,0.183,automatic_order_allowed,1,0.0372
DC00000134,2023-07-16,10093,cv_error,0.191,automatic_order_allowed,2,0.0731
DC00000135,2023-07-20,10100,cv_error,0.175,automatic_order_allowed,1,0.0335
DC00000136,2023-08-01,10091,cv_error,0.223,automatic_order_allowed,1,0.0591
DC00000137,2023-08-05,A10026,cv_error,0.207,automatic_order_allowed,1,0.0682
DC00000138,2023-08-10,46019,cv_error,0.033,automatic_order_allowed,2,0.079
DC00000139,2023-08-17,10091,planogram_mismatch,0.273,automatic_order_allowed,1,0.0496
DC00000140,2023-08-21,10100,cv_error,0.307,automatic_order_allowed,0,0.0348
DC00000141,2023-08-29,46019,cv_error,0.142,automatic_order_allowed,0,0.0684
DC00000142,2023-09-01,A10026,cv_error,0.194,automatic_order_allowed,0,0.0595
DC00000143,2023-09-10,10095,cv_error,0.282,automatic_order_allowed,2,0.0722
DC00000144,2023-09-21,90143,planogram_mismatch,0.188,automatic_order_allowed,0,0.0175
DC00000145,2023-09-29,65044,restocking_delay,0.27,automatic_order_allowed,0,0.0568
DC00000146,2023-10-04,10093,restocking_delay,0.259,automatic_order_allowed,0,0.0741
DC00000147,2023-10-09,10100,planogram_mismatch,0.063,automatic_order_allowed,0,0.045
DC00000148,2023-10-16,55845,restocking_delay,0.015,automatic_order_allowed,1,0.078
DC00000149,2023-10-26,46019,restocking_delay,0.211,automatic_order_allowed,0,0.0312
DC00000150,2023-11-02,10095,cv_error,0.315,automatic_order_allowed,1,0.0634
DC00000151,2023-11-08,10100,restocking_delay,0.09,automatic_order_allowed,1,0.0544
DC00000152,2023-11-16,65044,planogram_mismatch,0.328,automatic_order_allowed,1,0.076
DC00000153,2023-11-25,10095,demand_spike,0.362,automatic_order_allowed,1,0.0628
DC00000154,2023-12-05,55845,cv_error,0.041,automatic_order_allowed,0,0.0525
DC00000155,2023-12-12,A30035,restocking_delay,0.098,automatic_order_allowed,0,0.0482
DC00000156,2023-12-18,70133,planogram_mismatch,0.207,automatic_order_allowed,2,0.0189
DC00000157,2023-12-24,46019,restocking_delay,0.134,automatic_order_allowed,2,0.0356
DC00000158,2024-01-02,90143,cv_error,0.107,automatic_order_allowed,1,0.0602
DC00000159,2024-01-09,10091,planogram_mismatch,0.199,automatic_order_allowed,1,0.0329
DC00000160,2024-01-22,10094,planogram_mismatch,0.082,automatic_order_allowed,1,0.0509
DC00000161,2024-01-28,90143,planogram_mismatch,0.141,automatic_order_allowed,2,0.0591
DC00000162,2024-02-02,10095,demand_spike,0.36,automatic_order_allowed,2,0.0437
DC00000163,2024-02-12,45470,cv_error,0.176,automatic_order_allowed,0,0.0378
DC00000164,2024-02-15,65044,cv_error,0.027,automatic_order_allowed,1,0.0786
DC00000165,2024-02-26,70133,cv_error,0.154,automatic_order_allowed,2,0.0397
DC00000166,2024-03-05,70133,planogram_mismatch,0.114,automatic_order_allowed,0,0.06
DC00000167,2024-03-13,35035,planogram_mismatch,0.111,automatic_order_allowed,2,0.0203
DC00000168,2024-03-21,10093,planogram_mismatch,0.184,automatic_order_allowed,2,0.0795
DC00000169,2024-03-26,10095,planogram_mismatch,0.165,automatic_order_allowed,1,0.0698
DC00000170,2024-03-30,35035,demand_spike,0.361,automatic_order_allowed,2,0.0299
DC00000171,2024-04-07,46019,demand_spike,0.367,automatic_order_allowed,2,0.0291
DC00000172,2024-04-16,10092,planogram_mismatch,0.203,automatic_order_allowed,1,0.0457
DC00000173,2024-04-23,90130,restocking_delay,0.059,automatic_order_allowed,0,0.0709
DC00000174,2024-05-02,46019,planogram_mismatch,0.247,automatic_order_allowed,1,0.0251
DC00000175,2024-05-12,45657,cv_error,0.199,automatic_order_allowed,1,0.0663
DC00000176,2024-05-17,46019,demand_spike,0.347,automatic_order_allowed,2,0.0577
DC00000177,2024-05-26,10094,restocking_delay,0.272,automatic_order_allowed,2,0.0582
DC00000178,2024-05-31,10095,planogram_mismatch,0.163,automatic_order_allowed,0,0.0155
DC00000179,2024-06-06,90143,planogram_mismatch,0.112,automatic_order_allowed,2,0.0722
DC00000180,2024-06-13,10100,cv_error,0.183,automatic_order_allowed,0,0.0681
DC00000181,2024-06-18,10094,cv_error,0.246,automatic_order_allowed,0,0.0254
DC00000182,2024-06-25,90130,planogram_mismatch,0.087,automatic_order_allowed,1,0.0666
DC00000183,2024-07-05,35035,demand_spike,0.383,automatic_order_allowed,1,0.0196
DC00000184,2024-07-11,90143,planogram_mismatch,0.13,automatic_order_allowed,1,0.0242
DC00000185,2024-07-18,46019,planogram_mismatch,0.214,automatic_order_allowed,0,0.0456
DC00000186,2024-07-28,55845,planogram_mismatch,0.313,automatic_order_allowed,2,0.0625
DC00000187,2024-08-03,45470,demand_spike,0.356,automatic_order_allowed,1,0.0242
DC00000188,2024-08-11,45678,restocking_delay,0.013,automatic_order_allowed,2,0.0348
DC00000189,2024-08-19,10094,restocking_delay,0.224,automatic_order_allowed,1,0.0774
DC00000190,2024-08-25,10095,planogram_mismatch,0.09,automatic_order_allowed,1,0.0137
DC00000191,2024-08-30,10094,demand_spike,0.371,automatic_order_allowed,2,0.0246
DC00000192,2024-09-04,90143,cv_error,0.149,automatic_order_allowed,1,0.0399
DC00000193,2024-09-12,10060,restocking_delay,0.18,automatic_order_allowed,0,0.0517
DC00000194,2024-09-16,10092,restocking_delay,0.273,automatic_order_allowed,1,0.0565
DC00000195,2024-09-22,10100,restocking_delay,0.112,automatic_order_allowed,1,0.0319
DC00000196,2024-09-26,A30035,cv_error,0.12,automatic_order_allowed,0,0.0499
DC00000197,2024-10-03,10093,restocking_delay,0.204,automatic_order_allowed,0,0.066
DC00000198,2024-10-08,10100,restocking_delay,0.075,automatic_order_allowed,2,0.0643
DC00000199,2024-10-13,A10026,demand_spike,0.36,automatic_order_allowed,2,0.0466
DC00000200,2024-10-21,10091,planogram_mismatch,0.08,automatic_order_allowed,2,0.0266
DC00000201,2024-10-28,10060,cv_error,0.138,automatic_order_allowed,0,0.0717
DC00000202,2024-11-04,A30035,restocking_delay,0.031,automatic_order_allowed,2,0.0153
DC00000203,2024-11-11,10091,restocking_delay,0.279,automatic_order_allowed,0,0.057
DC00000204,2024-11-16,35035,planogram_mismatch,0.022,automatic_order_allowed,1,0.0325
DC00000205,2024-11-25,90143,planogram_mismatch,0.142,automatic_order_allowed,2,0.0501
DC00000206,2024-12-01,10093,restocking_delay,0.031,automatic_order_allowed,2,0.0324
DC00000207,2024-12-09,35192,restocking_delay,0.018,automatic_order_allowed,1,0.0109
DC00000208,2024-12-15,10092,planogram_mismatch,0.017,automatic_order_allowed,2,0.0748
DC00000209,2024-12-22,10093,restocking_delay,0.041,automatic_order_allowed,2,0.0416
DC00000210,2024-12-26,46019,planogram_mismatch,0.142,automatic_order_allowed,1,0.0541
DC00000211,2025-01-02,10100,planogram_mismatch,0.014,automatic_order_allowed,2,0.0366
DC00000212,2025-01-08,10095,demand_spike,0.39,automatic_order_allowed,0,0.0331
DC00000213,2025-01-14,45657,planogram_mismatch,0.134,automatic_order_allowed,0,0.025
DC00000214,2025-01-21,55845,cv_error,0.012,automatic_order_allowed,2,0.0216
DC00000215,2025-01-26,10100,cv_error,0.041,automatic_order_allowed,1,0.0675
DC00000216,2025-02-02,10094,cv_error,0.131,automatic_order_allowed,0,0.0538
DC00000217,2025-02-07,10060,planogram_mismatch,0.21,automatic_order_allowed,1,0.074
DC00000218,2025-02-15,45470,planogram_mismatch,0.088,automatic_order_allowed,1,0.0341
DC00000219,2025-02-17,90143,planogram_mismatch,0.084,automatic_order_allowed,2,0.0471
DC00000220,2025-02-23,45657,cv_error,0.232,automatic_order_allowed,0,0.0772
DC00000221,2025-03-02,10094,planogram_mismatch,0.119,automatic_order_allowed,1,0.0537
DC00000222,2025-03-09,45657,restocking_delay,0.227,automatic_order_allowed,1,0.0487
DC00000223,2025-03-17,45470,planogram_mismatch,0.203,automatic_order_allowed,0,0.0369
DC00000224,2025-03-25,55845,planogram_mismatch,0.098,automatic_order_allowed,1,0.0224
DC00000225,2025-03-30,65044,cv_error,0.131,automatic_order_allowed,1,0.0712
DC00000226,2025-04-09,10060,cv_error,0.319,automatic_order_allowed,0,0.0247
DC00000227,2025-04-17,10095,cv_error,0.114,automatic_order_allowed,1,0.0234
DC00000228,2025-04-23,45470,cv_error,0.005,automatic_order_allowed,2,0.0189
DC00000229,2025-04-28,90143,restocking_delay,0.224,automatic_order_allowed,0,0.0265
DC00000230,2025-05-05,10100,restocking_delay,0.08,automatic_order_allowed,2,0.0781
DC00000231,2025-05-09,10100,planogram_mismatch,0.177,automatic_order_allowed,2,0.0769
DC00000232,2025-05-14,45657,cv_error,0.159,automatic_order_allowed,1,0.0702
DC00000233,2025-05-21,10095,restocking_delay,0.263,automatic_order_allowed,0,0.0307
DC00000234,2025-06-01,10093,cv_error,0.21,automatic_order_allowed,2,0.0534
DC00000235,2025-06-06,45657,demand_spike,0.335,automatic_order_allowed,2,0.027
DC00000236,2025-06-15,10100,cv_error,0.065,automatic_order_allowed,0,0.0155
DC00000237,2025-06-21,55845,planogram_mismatch,0.295,automatic_order_allowed,0,0.0165
DC00000238,2025-06-25,10092,cv_error,0.117,automatic_order_allowed,2,0.0243
DC00000239,2025-06-30,70133,cv_error,0.178,automatic_order_allowed,0,0.051
DC00000240,2025-07-07,35192,restocking_delay,0.106,automatic_order_allowed,2,0.0361
DC00000241,2025-07-14,70133,cv_error,0.208,automatic_order_allowed,1,0.0155
DC00000242,2025-07-22,45678,planogram_mismatch,0.14,automatic_order_allowed,0,0.011
DC00000243,2025-07-29,90143,restocking_delay,0.068,automatic_order_allowed,1,0.0756
DC00000244,2025-08-01,A30035,cv_error,0.05,automatic_order_allowed,2,0.0553
DC00000245,2025-08-08,10100,cv_error,0.016,automatic_order_allowed,0,0.0799
DC00000246,2025-08-13,10093,restocking_delay,0.188,automatic_order_allowed,1,0.0367
DC00000247,2025-08-17,90130,restocking_delay,0.091,automatic_order_allowed,0,0.0155
DC00000248,2025-08-24,45657,planogram_mismatch,0.18,automatic_order_allowed,2,0.0469
DC00000249,2025-08-30,70133,planogram_mismatch,0.211,automatic_order_allowed,2,0.0696
DC00000250,2025-09-07,45470,cv_error,0.162,automatic_order_allowed,2,0.0147
DC00000251,2025-09-14,55845,restocking_delay,0.036,automatic_order_allowed,1,0.0376
DC00000252,2025-09-21,10092,planogram_mismatch,0.129,automatic_order_allowed,1,0.0135
DC00000253,2025-09-27,45678,restocking_delay,0.245,automatic_order_allowed,2,0.0699
DC00000254,2025-10-02,45657,planogram_mismatch,0.249,automatic_order_allowed,2,0.0328
DC00000255,2025-10-08,10091,planogram_mismatch,0.138,automatic_order_allowed,1,0.0771
DC00000256,2025-10-12,35192,planogram_mismatch,0.249,automatic_order_allowed,1,0.07
DC00000257,2025-10-15,45678,planogram_mismatch,0.203,automatic_order_allowed,1,0.0625
DC00000258,2025-10-22,10092,planogram_mismatch,0.154,automatic_order_allowed,2,0.0126
DC00000259,2025-10-28,10092,planogram_mismatch,0.107,automatic_order_allowed,2,0.0197
DC00000260,2025-11-03,45678,cv_error,0.128,automatic_order_allowed,1,0.0615
DC00000261,2025-11-09,70133,planogram_mismatch,0.164,automatic_order_allowed,0,0.0415
DC00000262,2025-11-14,46019,planogram_mismatch,0.109,automatic_order_allowed,0,0.0764
DC00000263,2025-11-20,10095,restocking_delay,0.161,automatic_order_allowed,1,0.0591
DC00000264,2025-11-27,90143,restocking_delay,0.18,automatic_order_allowed,1,0.0246
DC00000265,2025-12-02,46019,restocking_delay,0.065,automatic_order_allowed,0,0.0746
DC00000266,2025-12-05,10091,restocking_delay,0.225,automatic_order_allowed,1,0.0188
DC00000267,2025-12-15,A10026,restocking_delay,0.083,automatic_order_allowed,0,0.0521
DC00000268,2025-12-21,10060,cv_error,0.193,automatic_order_allowed,1,0.0745
DC00000269,2025-12-27,10060,planogram_mismatch,0.322,automatic_order_allowed,2,0.0634
DC00000270,2026-01-01,55845,cv_error,0.04,automatic_order_allowed,2,0.0128
DC00000271,2026-01-09,10093,restocking_delay,0.31,automatic_order_allowed,2,0.0357
DC00000272,2026-01-16,65044,demand_spike,0.344,automatic_order_allowed,0,0.0336
DC00000273,2026-01-20,A10026,restocking_delay,0.212,automatic_order_allowed,1,0.0457
DC00000274,2026-01-27,35035,restocking_delay,0.079,automatic_order_allowed,1,0.0586
DC00000275,2026-02-01,46019,cv_error,0.105,automatic_order_allowed,0,0.0489
DC00000276,2026-02-06,45470,restocking_delay,0.024,automatic_order_allowed,1,0.0367
DC00000277,2026-02-13,45678,planogram_mismatch,0.187,automatic_order_allowed,1,0.0467
DC00000278,2026-02-18,65044,restocking_delay,0.083,automatic_order_allowed,2,0.0667
DC00000279,2026-02-23,10060,cv_error,0.162,automatic_order_allowed,0,0.0709
DC00000280,2026-02-28,10100,cv_error,0.213,automatic_order_allowed,2,0.0139
DC00000281,2026-03-08,35192,cv_error,0.15,automatic_order_allowed,2,0.019
DC00000282,2026-03-14,10100,cv_error,0.045,automatic_order_allowed,2,0.0107
DC00000283,2026-03-19,35035,planogram_mismatch,0.08,automatic_order_allowed,2,0.0599
DC00000284,2026-03-28,35035,planogram_mismatch,0.097,automatic_order_allowed,2,0.0415
DC00000285,2026-04-04,45657,planogram_mismatch,0.17,automatic_order_allowed,1,0.0308
DC00000286,2026-04-14,45678,restocking_delay,0.138,automatic_order_allowed,0,0.0251
DC00000287,2026-04-20,10095,restocking_delay,0.073,automatic_order_allowed,0,0.0724
DC00000288,2026-04-27,10095,planogram_mismatch,0.125,automatic_order_allowed,2,0.0349
DC00000289,2026-05-02,45470,planogram_mismatch,0.003,automatic_order_allowed,0,0.0556
DC00000290,2026-05-08,90143,cv_error,0.153,automatic_order_allowed,0,0.0699
DC00000291,2026-05-15,35192,cv_error,0.213,automatic_order_allowed,0,0.0188
DC00000292,2026-05-22,90130,restocking_delay,0.178,automatic_order_allowed,0,0.0289
