date,temperature,weather,is_holiday,is_weekend
2021-06-09,18.9,rainy,0,0
2021-06-10,19.9,sunny,0,0
2021-06-11,18.7,rainy,0,0
2021-06-12,19.5,sunny,1,1
2021-06-13,17.4,sunny,1,1
2021-06-14,11.6,sunny,0,0
2021-06-15,10.4,rainy,0,0
2021-06-16,16.3,cloudy,0,0
2021-06-17,20.9,sunny,0,0
2021-06-18,20.8,rainy,0,0
2021-06-19,14.8,cloudy,1,1
2021-06-20,13.7,sunny,1,1
2021-06-21,18.6,cloudy,0,0
2021-06-22,17.1,sunny,0,0
2021-06-23,15.4,sunny,0,0
2021-06-24,13.7,snowy,0,0
2021-06-25,13.4,cloudy,0,0
2021-06-26,16.1,sunny,1,1
2021-06-27,18.9,sunny,1,1
2021-06-28,10.3,cloudy,0,0
2021-06-29,17.9,sunny,0,0
2021-06-30,15.4,sunny,0,0
2021-07-01,14.3,sunny,0,0
2021-07-02,11.4,cloudy,0,0
2021-07-03,14.6,sunny,1,1
2021-07-04,8.7,cloudy,1,1
2021-07-05,9.9,sunny,0,0
2021-07-06,18.9,cloudy,0,0
2021-07-07,13.9,cloudy,0,0
2021-07-08,13.2,cloudy,0,0
2021-07-09,15.6,cloudy,0,0
2021-07-10,20.0,sunny,1,1
2021-07-11,16.3,rainy,1,1
2021-07-12,13.6,sunny,0,0
2021-07-13,9.3,rainy,0,0
2021-07-14,13.4,sunny,0,0
2021-07-15,10.4,sunny,0,0
2021-07-16,13.8,sunny,0,0
2021-07-17,4.9,rainy,1,1
2021-07-18,14.7,sunny,1,1
2021-07-19,8.3,sunny,0,0
2021-07-20,8.6,cloudy,0,0
2021-07-21,8.4,cloudy,0,0
2021-07-22,9.0,sunny,0,0
2021-07-23,12.0,sunny,0,0
2021-07-24,7.4,rainy,1,1
2021-07-25,14.2,cloudy,1,1
2021-07-26,6.4,sunny,0,0
2021-07-27,13.1,sunny,0,0
2021-07-28,9.1,sunny,0,0
2021-07-29,7.4,rainy,0,0
2021-07-30,9.7,sunny,0,0
2021-07-31,6.5,cloudy,1,1
2021-08-01,0.8,sunny,1,1
2021-08-02,2.7,cloudy,0,0
2021-08-03,7.1,cloudy,0,0
2021-08-04,8.1,sunny,0,0
2021-08-05,9.3,sunny,0,0
2021-08-06,8.0,sunny,0,0
2021-08-07,6.0,cloudy,1,1
2021-08-08,3.7,sunny,1,1
2021-08-09,4.0,rainy,0,0
2021-08-10,6.6,sunny,0,0
2021-08-11,8.5,rainy,1,0
2021-08-12,7.8,cloudy,0,0
2021-08-13,5.8,cloudy,0,0
2021-08-14,6.4,snowy,1,1
2021-08-15,9.7,sunny,1,1
2021-08-16,4.8,cloudy,0,0
2021-08-17,1.9,rainy,0,0
2021-08-18,7.4,sunny,0,0
2021-08-19,2.6,snowy,0,0
2021-08-20,1.3,cloudy,0,0
2021-08-21,-0.1,sunny,1,1
2021-08-22,3.4,sunny,1,1
2021-08-23,7.0,snowy,0,0
2021-08-24,6.0,sunny,0,0
2021-08-25,2.4,rainy,0,0
2021-08-26,6.5,sunny,0,0
2021-08-27,5.7,cloudy,0,0
2021-08-28,-0.3,cloudy,1,1
2021-08-29,1.4,cloudy,1,1
2021-08-30,5.9,sunny,0,0
2021-08-31,8.0,sunny,0,0
2021-09-01,4.3,sunny,0,0
2021-09-02,1.8,cloudy,0,0
2021-09-03,0.2,sunny,0,0
2021-09-04,10.9,sunny,1,1
2021-09-05,-2.7,sunny,1,1
2021-09-06,2.2,sunny,0,0
2021-09-07,4.7,cloudy,0,0
2021-09-08,5.0,sunny,0,0
2021-09-09,1.8,cloudy,0,0
2021-09-10,-2.4,rainy,0,0
2021-09-11,8.2,sunny,1,1
2021-09-12,7.6,sunny,1,1
2021-09-13,4.3,sunny,1,0
2021-09-14,3.0,sunny,0,0
2021-09-15,-2.6,sunny,0,0
2021-09-16,1.4,sunny,0,0
2021-09-17,-2.5,sunny,0,0
2021-09-18,-5.4,cloudy,1,1
2021-09-19,3.1,sunny,1,1
2021-09-20,-1.7,sunny,0,0
2021-09-21,9.3,cloudy,0,0
2021-09-22,1.6,sunny,0,0
2021-09-23,5.9,rainy,0,0
2021-09-24,0.6,sunny,0,0
2021-09-25,4.4,sunny,1,1
2021-09-26,0.7,snowy,1,1
2021-09-27,3.0,sunny,0,0
2021-09-28,-4.7,sunny,0,0
2021-09-29,-5.0,sunny,0,0
2021-09-30,1.4,sunny,0,0
2021-10-01,-1.1,sunny,0,0
2021-10-02,-0.9,sunny,1,1
2021-10-03,3.7,sunny,1,1
2021-10-04,4.0,sunny,1,0
2021-10-05,-1.1,sunny,1,0
2021-10-06,-1.6,sunny,0,0
2021-10-07,1.0,sunny,0,0
2021-10-08,5.5,sunny,0,0
2021-10-09,-0.6,sunny,1,1
2021-10-10,3.0,rainy,1,1
2021-10-11,-1.2,cloudy,0,0
2021-10-12,2.4,sunny,0,0
2021-10-13,3.1,sunny,1,0
2021-10-14,4.7,cloudy,0,0
2021-10-15,5.4,cloudy,0,0
2021-10-16,-3.2,sunny,1,1
2021-10-17,5.3,cloudy,1,1
2021-10-18,4.1,rainy,0,0
2021-10-19,2.6,sunny,0,0
2021-10-20,8.8,sunny,0,0
2021-10-21,-0.0,cloudy,0,0
2021-10-22,4.1,sunny,0,0
2021-10-23,5.1,sunny,1,1
2021-10-24,4.0,sunny,1,1
2021-10-25,3.3,cloudy,0,0
2021-10-26,8.2,sunny,0,0
2021-10-27,4.0,sunny,0,0
2021-10-28,3.9,sunny,0,0
2021-10-29,3.6,sunny,0,0
2021-10-30,3.3,snowy,1,1
2021-10-31,6.3,sunny,1,1
2021-11-01,4.4,sunny,0,0
2021-11-02,0.6,sunny,0,0
2021-11-03,0.2,cloudy,0,0
2021-11-04,-1.3,cloudy,1,0
2021-11-05,7.3,sunny,0,0
2021-11-06,1.7,cloudy,1,1
2021-11-07,5.4,cloudy,1,1
2021-11-08,8.4,cloudy,0,0
2021-11-09,0.9,sunny,0,0
2021-11-10,4.2,sunny,0,0
2021-11-11,3.4,rainy,0,0
2021-11-12,3.8,sunny,0,0
2021-11-13,1.8,sunny,1,1
2021-11-14,9.6,rainy,1,1
2021-11-15,6.4,sunny,0,0
2021-11-16,0.0,sunny,0,0
2021-11-17,5.4,cloudy,0,0
2021-11-18,7.1,sunny,0,0
2021-11-19,4.9,cloudy,0,0
2021-11-20,5.2,sunny,1,1
2021-11-21,11.9,sunny,1,1
2021-11-22,12.3,cloudy,0,0
2021-11-23,6.4,sunny,0,0
2021-11-24,16.4,sunny,0,0
2021-11-25,9.9,sunny,0,0
2021-11-26,9.9,sunny,0,0
2021-11-27,7.4,sunny,1,1
2021-11-28,8.8,sunny,1,1
2021-11-29,9.7,sunny,0,0
2021-11-30,7.7,sunny,0,0
2021-12-01,10.6,sunny,0,0
2021-12-02,6.5,sunny,0,0
2021-12-03,5.4,cloudy,0,0
2021-12-04,2.9,sunny,1,1
2021-12-05,8.8,sunny,1,1
2021-12-06,8.7,rainy,0,0
2021-12-07,12.0,snowy,0,0
2021-12-08,6.1,sunny,0,0
2021-12-09,8.3,rainy,0,0
2021-12-10,7.3,sunny,0,0
2021-12-11,10.1,sunny,1,1
2021-12-12,13.3,cloudy,1,1
2021-12-13,7.8,sunny,0,0
2021-12-14,11.7,cloudy,0,0
2021-12-15,15.5,sunny,0,0
2021-12-16,10.3,sunny,0,0
2021-12-17,7.9,sunny,0,0
2021-12-18,13.0,sunny,1,1
2021-12-19,14.5,rainy,1,1
2021-12-20,16.1,sunny,0,0
2021-12-21,6.3,rainy,0,0
2021-12-22,12.5,sunny,0,0
2021-12-23,18.0,sunny,0,0
2021-12-24,11.9,sunny,0,0
2021-12-25,14.1,sunny,1,1
2021-12-26,17.9,sunny,1,1
2021-12-27,14.9,sunny,0,0
2021-12-28,16.2,rainy,0,0
2021-12-29,16.2,sunny,0,0
2021-12-30,14.7,sunny,0,0
2021-12-31,5.2,cloudy,0,0
2022-01-01,9.0,sunny,1,1
2022-01-02,15.8,sunny,1,1
2022-01-03,12.5,cloudy,0,0
2022-01-04,21.6,cloudy,0,0
2022-01-05,19.9,sunny,0,0
2022-01-06,14.9,snowy,1,0
2022-01-07,14.7,sunny,0,0
2022-01-08,15.8,sunny,1,1
2022-01-09,15.5,sunny,1,1
2022-01-10,17.9,cloudy,0,0
2022-01-11,19.6,cloudy,0,0
2022-01-12,17.8,sunny,0,0
2022-01-13,17.4,rainy,0,0
2022-01-14,18.8,rainy,0,0
2022-01-15,16.2,cloudy,1,1
2022-01-16,19.9,rainy,1,1
2022-01-17,22.8,sunny,0,0
2022-01-18,18.7,sunny,0,0
2022-01-19,18.2,cloudy,0,0
2022-01-20,15.9,sunny,0,0
2022-01-21,18.3,cloudy,0,0
2022-01-22,17.3,cloudy,1,1
2022-01-23,19.8,sunny,1,1
2022-01-24,23.1,rainy,0,0
2022-01-25,15.9,sunny,0,0
2022-01-26,18.4,sunny,0,0
2022-01-27,20.4,sunny,0,0
2022-01-28,21.4,snowy,0,0
2022-01-29,13.2,sunny,1,1
2022-01-30,19.9,sunny,1,1
2022-01-31,23.7,cloudy,0,0
2022-02-01,21.7,rainy,0,0
2022-02-02,23.4,rainy,0,0
2022-02-03,22.7,sunny,0,0
2022-02-04,22.9,sunny,0,0
2022-02-05,18.4,rainy,1,1
2022-02-06,22.8,rainy,1,1
2022-02-07,22.6,cloudy,0,0
2022-02-08,21.8,sunny,0,0
2022-02-09,26.0,sunny,0,0
2022-02-10,22.1,sunny,0,0
2022-02-11,26.3,rainy,0,0
2022-02-12,20.2,sunny,1,1
2022-02-13,19.0,cloudy,1,1
2022-02-14,26.7,cloudy,0,0
2022-02-15,19.2,snowy,0,0
2022-02-16,19.9,sunny,0,0
2022-02-17,31.3,snowy,0,0
2022-02-18,23.7,cloudy,0,0
2022-02-19,23.3,rainy,1,1
2022-02-20,22.0,sunny,1,1
2022-02-21,18.7,sunny,0,0
2022-02-22,21.7,cloudy,0,0
2022-02-23,24.2,snowy,0,0
2022-02-24,23.5,cloudy,0,0
2022-02-25,26.8,sunny,0,0
2022-02-26,25.8,sunny,1,1
2022-02-27,25.6,sunny,1,1
2022-02-28,26.3,rainy,0,0
2022-03-01,28.2,cloudy,0,0
2022-03-02,23.6,rainy,0,0
2022-03-03,24.8,sunny,0,0
2022-03-04,23.5,sunny,0,0
2022-03-05,26.1,sunny,1,1
2022-03-06,22.5,cloudy,1,1
2022-03-07,24.3,rainy,0,0
2022-03-08,24.7,rainy,0,0
2022-03-09,22.4,rainy,0,0
2022-03-10,29.3,cloudy,0,0
2022-03-11,25.4,sunny,0,0
2022-03-12,25.3,sunny,1,1
2022-03-13,18.4,sunny,1,1
2022-03-14,23.8,sunny,0,0
2022-03-15,26.9,sunny,0,0
2022-03-16,28.6,snowy,0,0
2022-03-17,26.4,sunny,0,0
2022-03-18,26.0,snowy,0,0
2022-03-19,18.3,sunny,1,1
2022-03-20,22.2,cloudy,1,1
2022-03-21,25.0,cloudy,0,0
2022-03-22,23.2,cloudy,0,0
2022-03-23,24.6,cloudy,0,0
2022-03-24,20.2,sunny,0,0
2022-03-25,25.7,cloudy,0,0
2022-03-26,26.4,sunny,1,1
2022-03-27,27.2,sunny,1,1
2022-03-28,28.5,sunny,0,0
2022-03-29,25.9,rainy,0,0
2022-03-30,27.1,rainy,0,0
2022-03-31,30.6,rainy,0,0
2022-04-01,28.3,cloudy,0,0
2022-04-02,22.3,cloudy,1,1
2022-04-03,30.4,sunny,1,1
2022-04-04,22.0,sunny,0,0
2022-04-05,25.7,sunny,0,0
2022-04-06,23.8,sunny,0,0
2022-04-07,26.8,sunny,0,0
2022-04-08,25.4,sunny,0,0
2022-04-09,21.8,sunny,1,1
2022-04-10,19.1,sunny,1,1
2022-04-11,29.8,rainy,0,0
2022-04-12,27.0,sunny,0,0
2022-04-13,27.3,rainy,0,0
2022-04-14,27.4,sunny,0,0
2022-04-15,22.3,sunny,0,0
2022-04-16,18.8,sunny,1,1
2022-04-17,26.5,cloudy,1,1
2022-04-18,25.6,sunny,0,0
2022-04-19,30.1,cloudy,0,0
2022-04-20,30.4,sunny,0,0
2022-04-21,25.5,rainy,0,0
2022-04-22,24.7,sunny,0,0
2022-04-23,29.7,sunny,1,1
2022-04-24,26.0,cloudy,1,1
2022-04-25,23.1,sunny,0,0
2022-04-26,30.1,cloudy,0,0
2022-04-27,25.1,cloudy,0,0
2022-04-28,24.6,rainy,0,0
2022-04-29,26.6,cloudy,0,0
2022-04-30,29.2,rainy,1,1
2022-05-01,23.3,rainy,1,1
2022-05-02,22.5,sunny,1,0
2022-05-03,29.1,sunny,0,0
2022-05-04,27.7,sunny,0,0
2022-05-05,26.4,cloudy,1,0
2022-05-06,19.9,sunny,0,0
2022-05-07,26.3,sunny,1,1
2022-05-08,22.4,cloudy,1,1
2022-05-09,17.2,snowy,0,0
2022-05-10,18.7,sunny,0,0
2022-05-11,20.4,sunny,0,0
2022-05-12,15.5,sunny,0,0
2022-05-13,22.3,cloudy,0,0
2022-05-14,26.6,sunny,1,1
2022-05-15,21.7,sunny,1,1
2022-05-16,25.0,sunny,0,0
2022-05-17,24.2,sunny,0,0
2022-05-18,23.4,cloudy,0,0
2022-05-19,19.9,sunny,0,0
2022-05-20,17.3,sunny,0,0
2022-05-21,22.7,sunny,1,1
2022-05-22,21.3,sunny,1,1
2022-05-23,15.9,rainy,0,0
2022-05-24,22.2,snowy,0,0
2022-05-25,22.6,rainy,0,0
2022-05-26,20.4,sunny,0,0
2022-05-27,22.2,snowy,0,0
2022-05-28,27.6,sunny,1,1
2022-05-29,18.3,sunny,1,1
2022-05-30,20.0,rainy,0,0
2022-05-31,16.3,sunny,0,0
2022-06-01,25.8,sunny,0,0
2022-06-02,18.3,sunny,0,0
2022-06-03,18.5,snowy,0,0
2022-06-04,22.1,sunny,1,1
2022-06-05,20.4,snowy,1,1
2022-06-06,23.1,cloudy,0,0
2022-06-07,14.4,rainy,0,0
2022-06-08,13.9,cloudy,0,0
2022-06-09,20.2,rainy,0,0
2022-06-10,22.8,sunny,0,0
2022-06-11,17.2,sunny,1,1
2022-06-12,12.7,sunny,1,1
2022-06-13,21.5,cloudy,0,0
2022-06-14,14.8,cloudy,0,0
2022-06-15,15.7,sunny,0,0
2022-06-16,22.8,sunny,0,0
2022-06-17,18.7,sunny,0,0
2022-06-18,15.8,sunny,1,1
2022-06-19,15.1,sunny,1,1
2022-06-20,18.4,sunny,0,0
2022-06-21,16.1,rainy,0,0
2022-06-22,22.6,rainy,0,0
2022-06-23,19.9,sunny,0,0
2022-06-24,18.5,sunny,0,0
2022-06-25,14.7,sunny,1,1
2022-06-26,16.3,sunny,1,1
2022-06-27,15.5,sunny,0,0
2022-06-28,17.5,sunny,0,0
2022-06-29,13.7,sunny,0,0
2022-06-30,9.4,sunny,0,0
2022-07-01,12.8,sunny,0,0
2022-07-02,17.3,sunny,1,1
2022-07-03,14.8,cloudy,1,1
2022-07-04,17.8,sunny,0,0
2022-07-05,20.3,rainy,0,0
2022-07-06,11.3,rainy,0,0
2022-07-07,12.5,sunny,0,0
2022-07-08,12.3,cloudy,0,0
2022-07-09,17.8,cloudy,1,1
2022-07-10,15.1,snowy,1,1
2022-07-11,9.5,rainy,0,0
2022-07-12,12.0,sunny,0,0
2022-07-13,7.4,sunny,0,0
2022-07-14,14.8,cloudy,0,0
2022-07-15,10.7,sunny,0,0
2022-07-16,6.7,sunny,1,1
2022-07-17,16.0,sunny,1,1
2022-07-18,12.3,cloudy,0,0
2022-07-19,12.8,sunny,0,0
2022-07-20,6.1,sunny,0,0
2022-07-21,8.2,cloudy,0,0
2022-07-22,6.6,sunny,0,0
2022-07-23,10.6,cloudy,1,1
2022-07-24,11.6,sunny,1,1
2022-07-25,7.6,sunny,0,0
2022-07-26,10.1,sunny,0,0
2022-07-27,2.6,sunny,0,0
2022-07-28,9.1,sunny,0,0
2022-07-29,11.2,sunny,0,0
2022-07-30,9.0,rainy,1,1
2022-07-31,12.1,cloudy,1,1
2022-08-01,2.2,cloudy,0,0
2022-08-02,7.1,cloudy,0,0
2022-08-03,10.9,sunny,0,0
2022-08-04,1.1,sunny,0,0
2022-08-05,8.2,rainy,0,0
2022-08-06,13.1,sunny,1,1
2022-08-07,9.2,rainy,1,1
2022-08-08,4.0,rainy,0,0
2022-08-09,9.1,sunny,0,0
2022-08-10,10.5,sunny,0,0
2022-08-11,3.9,sunny,0,0
2022-08-12,1.4,rainy,0,0
2022-08-13,4.9,rainy,1,1
2022-08-14,3.9,sunny,1,1
2022-08-15,8.0,sunny,0,0
2022-08-16,4.4,cloudy,0,0
2022-08-17,1.9,sunny,0,0
2022-08-18,1.8,sunny,0,0
2022-08-19,0.3,cloudy,0,0
2022-08-20,6.0,sunny,1,1
2022-08-21,0.5,sunny,1,1
2022-08-22,4.8,snowy,0,0
2022-08-23,5.6,sunny,0,0
2022-08-24,6.1,sunny,0,0
2022-08-25,-0.5,sunny,0,0
2022-08-26,1.2,sunny,0,0
2022-08-27,-0.1,cloudy,1,1
2022-08-28,1.8,snowy,1,1
2022-08-29,5.2,rainy,0,0
2022-08-30,8.5,cloudy,0,0
2022-08-31,7.0,sunny,0,0
2022-09-01,2.6,sunny,0,0
2022-09-02,4.0,rainy,0,0
2022-09-03,4.2,sunny,1,1
2022-09-04,3.1,sunny,1,1
2022-09-05,1.1,sunny,0,0
2022-09-06,-2.3,sunny,0,0
2022-09-07,4.7,cloudy,0,0
2022-09-08,6.4,rainy,0,0
2022-09-09,-4.2,sunny,0,0
2022-09-10,6.0,sunny,1,1
2022-09-11,0.2,cloudy,1,1
2022-09-12,2.6,rainy,0,0
2022-09-13,-2.7,rainy,0,0
2022-09-14,1.9,rainy,0,0
2022-09-15,-4.8,sunny,0,0
2022-09-16,2.5,cloudy,0,0
2022-09-17,1.8,cloudy,1,1
2022-09-18,0.8,sunny,1,1
2022-09-19,3.9,sunny,0,0
2022-09-20,-2.5,snowy,0,0
2022-09-21,4.4,snowy,0,0
2022-09-22,-1.2,sunny,0,0
2022-09-23,5.7,sunny,0,0
2022-09-24,2.1,sunny,1,1
2022-09-25,-0.0,sunny,1,1
2022-09-26,-2.8,sunny,0,0
2022-09-27,1.3,cloudy,0,0
2022-09-28,3.1,sunny,0,0
2022-09-29,-2.5,cloudy,0,0
2022-09-30,5.7,sunny,0,0
2022-10-01,0.4,sunny,1,1
2022-10-02,1.6,rainy,1,1
2022-10-03,0.4,sunny,0,0
2022-10-04,-2.1,rainy,0,0
2022-10-05,-1.7,cloudy,0,0
2022-10-06,9.2,sunny,0,0
2022-10-07,-1.3,cloudy,0,0
2022-10-08,-4.9,sunny,1,1
2022-10-09,7.8,sunny,1,1
2022-10-10,2.9,rainy,0,0
2022-10-11,0.4,cloudy,0,0
2022-10-12,1.9,rainy,0,0
2022-10-13,0.5,sunny,0,0
2022-10-14,-1.7,sunny,0,0
2022-10-15,0.4,snowy,1,1
2022-10-16,5.8,sunny,1,1
2022-10-17,-0.4,cloudy,0,0
2022-10-18,2.6,cloudy,0,0
2022-10-19,1.9,sunny,0,0
2022-10-20,5.4,sunny,0,0
2022-10-21,0.3,sunny,0,0
2022-10-22,7.2,rainy,1,1
2022-10-23,-1.1,cloudy,1,1
2022-10-24,0.6,cloudy,0,0
2022-10-25,1.6,cloudy,0,0
2022-10-26,1.3,cloudy,0,0
2022-10-27,6.5,cloudy,0,0
2022-10-28,10.1,sunny,0,0
2022-10-29,-0.1,cloudy,1,1
2022-10-30,1.6,sunny,1,1
2022-10-31,0.4,sunny,0,0
2022-11-01,6.2,cloudy,0,0
2022-11-02,2.4,sunny,0,0
2022-11-03,9.0,rainy,0,0
2022-11-04,-0.0,cloudy,0,0
2022-11-05,8.5,sunny,1,1
2022-11-06,4.5,sunny,1,1
2022-11-07,1.4,sunny,0,0
2022-11-08,7.8,sunny,0,0
2022-11-09,7.7,sunny,0,0
2022-11-10,5.6,cloudy,0,0
2022-11-11,3.9,sunny,0,0
2022-11-12,3.3,sunny,1,1
2022-11-13,5.1,sunny,1,1
2022-11-14,4.4,cloudy,0,0
2022-11-15,-0.3,sunny,0,0
2022-11-16,5.7,snowy,0,0
2022-11-17,-0.2,sunny,0,0
2022-11-18,6.4,snowy,0,0
2022-11-19,8.9,sunny,1,1
2022-11-20,5.4,rainy,1,1
2022-11-21,8.7,sunny,0,0
2022-11-22,3.9,sunny,0,0
2022-11-23,11.4,rainy,0,0
2022-11-24,9.1,sunny,0,0
2022-11-25,8.3,sunny,0,0
2022-11-26,7.9,sunny,1,1
2022-11-27,11.8,sunny,1,1
2022-11-28,5.8,sunny,0,0
2022-11-29,3.2,sunny,0,0
2022-11-30,8.0,sunny,0,0
2022-12-01,10.1,cloudy,0,0
2022-12-02,7.4,sunny,0,0
2022-12-03,6.4,sunny,1,1
2022-12-04,11.8,sunny,1,1
2022-12-05,4.6,sunny,0,0
2022-12-06,13.2,rainy,0,0
2022-12-07,9.7,rainy,0,0
2022-12-08,8.3,sunny,0,0
2022-12-09,7.9,cloudy,0,0
2022-12-10,6.6,sunny,1,1
2022-12-11,12.1,sunny,1,1
2022-12-12,14.4,sunny,0,0
2022-12-13,14.6,sunny,0,0
2022-12-14,4.5,cloudy,0,0
2022-12-15,11.3,cloudy,0,0
2022-12-16,14.0,cloudy,0,0
2022-12-17,4.7,sunny,1,1
2022-12-18,9.6,sunny,1,1
2022-12-19,12.9,rainy,0,0
2022-12-20,10.1,rainy,0,0
2022-12-21,11.6,snowy,0,0
2022-12-22,12.2,snowy,0,0
2022-12-23,13.7,cloudy,0,0
2022-12-24,14.2,rainy,1,1
2022-12-25,16.3,cloudy,1,1
2022-12-26,11.1,sunny,0,0
2022-12-27,8.8,cloudy,0,0
2022-12-28,7.6,sunny,0,0
2022-12-29,10.0,cloudy,0,0
2022-12-30,16.4,sunny,0,0
2022-12-31,12.8,rainy,1,1
2023-01-01,18.1,sunny,1,1
2023-01-02,19.2,rainy,0,0
2023-01-03,12.6,rainy,0,0
2023-01-04,15.1,snowy,0,0
2023-01-05,13.9,cloudy,0,0
2023-01-06,12.5,sunny,0,0
2023-01-07,15.6,sunny,1,1
2023-01-08,10.3,rainy,1,1
2023-01-09,16.5,sunny,0,0
2023-01-10,12.4,sunny,0,0
2023-01-11,16.8,sunny,0,0
2023-01-12,15.8,sunny,0,0
2023-01-13,17.4,sunny,0,0
2023-01-14,19.3,sunny,1,1
2023-01-15,16.1,sunny,1,1
2023-01-16,22.4,cloudy,0,0
2023-01-17,11.8,sunny,1,0
2023-01-18,19.1,rainy,0,0
2023-01-19,17.9,cloudy,0,0
2023-01-20,17.2,sunny,0,0
2023-01-21,15.8,sunny,1,1
